Cohort ID,Cohort Name,Previous/other/additional names
1000G,1000 Genomes,
100-plus,100-plus Study of cognitively healthy centenarians,
23andMe,23andMe,
23mofang,23mofang Personal Genome Services,
2SISTER,The Two Sister Study,
300BCG,300BCG,
300-OB,300_Obese cohort,
300TZFG,300 Tanzania functional genomics (FG) study,
3C,Three City Study,
3DFN,3D Facial Norms cohort,
4D,Die Deutsche Diabetes Dialyse Studie,DDDD
4D-SZ,4D-SZ cohort,
500FG,500FG,
A2A,The Women's Health Study: From Adolescence to Adulthood,
A4,Anti-Amyloid Treatment in Asymptomatic Alzheimer's Disease,
AAA,Aspirin for Asymptomatic Atherosclerosis Study,
AAAGC,African Ancestry Anthropometry Genetics,
AABC,African American Breast Cancer Cohort,
AABCG,African Ancestry Breast Cancer Genetic consortium,
AA-DHS,African American-Diabetes Heart Study,
AADM,Africa America Diabetes Mellitus,
AAGC,Australian Asthma Genetics Consortium,
Aalborg,Aalborg University Hospital blood bank,
AAPC,African Ancestry Prostate Cancer Consortium,
Aarhus,Aarhus,
AAS,African American Study,
AASC,Anti-Aging Study Cohort,
AASK,African American Study of Kidney disease and hypertension,
ABCC,Asia Breast Cancer Consortium,
ABCD,Adolescent Brain Cognitive Development,
ABCFS,Australian Breast Cancer Family Study,
ABCS,Amsterdam Breast Cancer Study,
ABCS-F,Amsterdam Breast Cancer Study - Familial,
ABCTB,Australian Breast Cancer Tissue Bank,
ABDC,Anonymous Blood Donor Cohort,
ABIL,"Australian Imaging, Biomarker & Lifestyle Flagship Study of Ageing",
ABP,Adelaide Blood Pools,
AC,Aneurysm Consortium AAA GWAS dataset,
ACC,Autism CaseControl cohort,
ACCC,Asia Colorectal Cancer Consortium,
ACCME,African Collaborative Center for Microbiome and Genomics Research,
ACCORD,Action to Control Cardiovascular Risk in Diabetes,
ACCT,Anglo Cardiff Collaborative Trial,
ACE,Autism Centre of Excellence,
ACG,Alcoholic Cirrhosis GWAS,
ACP,Asian Cancer Project,
ACPRC,Age and Cognitive Performance Research Cohort,
ACS,Australia Cancer Study,
ACS_b,Amsterdam Cohort Studies on HIV infection and AIDS,
ACS_c,American Cancer Society Prevention Study,
ACSGH,"Affective Center at St Goran Hospital, Stockholm",
ACT,Adult Changes in Thought,
ACTG,AIDS Clinical Trials Group,
ACTS,ACTS,
ACUCH,Amyloidosis Center at University Clinic Heidelberg,
ADAGES,African Descent and Glaucoma Evaluation Study,
