PGS Performance Metric (PPM) ID,Evaluated Score,PGS Sample Set (PSS),PGS Publication (PGP) ID,Reported Trait,Covariates Included in the Model,PGS Performance: Other Relevant Information,Publication (PMID),Publication (doi),Hazard Ratio (HR),Odds Ratio (OR),Beta,Area Under the Receiver-Operating Characteristic Curve (AUROC),Concordance Statistic (C-index),Other Metric(s)
PPM000001,PGS000001,PSS000001,PGP000001,All breast cancer,,,25855707,10.1093/jnci/djv036,,"1.55 [1.52,1.58]",,,"0.622 [0.619,0.627]",
PPM000002,PGS000002,PSS000003,PGP000001,ER-positive breast cancer,,,25855707,10.1093/jnci/djv036,,"1.63 [1.6,1.67]",,,,
PPM000003,PGS000003,PSS000002,PGP000001,ER-negative breast cancer,,,25855707,10.1093/jnci/djv036,,"1.45 [1.4,1.49]",,,,
PPM000004,PGS000004,PSS000004,PGP000002,Invasive breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.61 [1.57,1.65]",,0.63,,
PPM000005,PGS000004,PSS000007,PGP000002,Incident breast cancer cases,"study, genetic PCs 1-15",Included only 306 of the 313 SNPs,30554720,10.1016/j.ajhg.2018.11.002,"1.59 [1.54,1.64]",,,,,
PPM000006,PGS000005,PSS000005,PGP000002,ER-positive breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.68 [1.63,1.73]",,0.641,,
PPM000007,PGS000006,PSS000006,PGP000002,ER-negative breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.45 [1.37,1.53]",,0.601,,
PPM000008,PGS000007,PSS000004,PGP000002,Invasive breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.66 [1.61,1.7]",,0.636,,
PPM000009,PGS000008,PSS000005,PGP000002,ER-positive breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.73 [1.68,1.78]",,0.647,,
PPM000010,PGS000009,PSS000006,PGP000002,ER-negative breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.44 [1.36,1.53]",,0.6,,
PPM000011,PGS000001,PSS000004,PGP000002,Invasive breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.46 [1.42,1.49]",,0.603,,
PPM000012,PGS000002,PSS000005,PGP000002,ER-positive breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.52 [1.48,1.56]",,0.615,,
PPM000013,PGS000003,PSS000006,PGP000002,ER-negative breast cancer,"study, genetic PCs 1-15",,30554720,10.1016/j.ajhg.2018.11.002,,"1.35 [1.27,1.43]",,0.584,,
PPM000014,PGS000010,PSS000008,PGP000003,Coronary heart disease,"age, sex, diabetes status, smoking, race, family history of coronary heart disease, HDL cholesterol, LDL cholesterol, and hypertension",Meta-analysis of sub-cohort effect sizes,25748612,10.1016/S0140-6736(14)61730-X,"1.21 [1.17,1.26]",,,,,
