trait_label,pgs_id,ancestry_display,I2,k_eval,Q,auc_pooled
5-year incident prostate cancer,PGS005237,African,97.11794789012389,2,34.69749893047486,0.6989550793777054
5-year incident prostate cancer,PGS005238,African,96.83728397458316,2,31.618393556791116,0.704328902315798
5-year incident prostate cancer,PGS005239,African,96.8016841964007,2,31.266455891398522,0.7060346349890034
5-year incident prostate cancer,PGS005240,African,97.7754424969494,2,44.95276020640856,0.685249322122636
5-year incident prostate cancer,PGS005241,African,97.16888832176018,2,35.321813960434234,0.6909834740962006
5-year incident prostate cancer,PGS005237,European,98.34762532249444,6,302.5948090385909,0.7324575602306561
5-year incident prostate cancer,PGS005238,European,98.0838625435374,6,260.94161372068515,0.7434179019691003
5-year incident prostate cancer,PGS005239,European,98.26805282005576,6,288.6924068989771,0.7347858496087775
5-year incident prostate cancer,PGS005240,European,98.19881537359473,6,277.5950852955448,0.7395835102933223
5-year incident prostate cancer,PGS005241,European,98.59980587938028,6,357.09334344205524,0.7017724296198147
5-year incident prostate cancer,PGS005237,South Asian,79.29312755929743,2,4.8293145324754345,0.8025237663279019
5-year incident prostate cancer,PGS005238,South Asian,76.91868302112943,2,4.332508413256637,0.7982249449558274
5-year incident prostate cancer,PGS005239,South Asian,82.4709610844161,2,5.704819327607101,0.7796813560881879
5-year incident prostate cancer,PGS005240,South Asian,85.19237203016424,2,6.753276095516946,0.771903183395173
5-year incident prostate cancer,PGS005241,South Asian,90.82309820998556,2,10.896923851665502,0.7223571671949593
AD,PGS003992,European,95.0759739071416,3,40.61716900527221,0.5863064455758409
AD,PGS004008,European,94.99259402142395,3,39.94083979922761,0.6185911076330316
AD,PGS004034,European,95.0713823930161,3,40.579329935557936,0.6276276194228975
AD,PGS004062,European,95.01590831453768,3,40.12767272788391,0.6154791205245895
AD,PGS004092,European,95.52583103810927,3,44.70103871881563,0.6173655871024735
AD,PGS004116,European,92.76994723537352,3,27.662315409164567,0.5647813039486171
AD,PGS004146,European,95.20897778359716,3,41.74474485116507,0.6252347811578675
AD NSTEMI,PGS001048,European,74.37618973999538,2,3.9026202186677432,0.729463295209142
AD all cause dementia,PGS000929,European,0,2,6.820413672539208e-4,0.8154232242621486
AD alzheimer's disease,PGS001348,European,0,2,0.04215988741423114,0.8672864401864716
AD asthma,PGS001343,European,68.95698656024575,2,3.221336749219655,0.6284968538704838
AD chronic obstructive pulmonary disease,PGS001333,European,61.22633585670882,2,2.579070155207462,0.7049183036969064
AD myocardial infarction,PGS001316,European,81.05318831916996,2,5.277932861980034,0.7645022893981266
Abdominal aortic aneurysm,PGS003972,European,82.6928078015155,3,11.555889465277504,0.6654711957186649
Alcohol consumed,PGS001086,European,7.104421104246988,2,1.0764774942865638,0.5713006408701788
Alcohol intake versus 10 years previously (More nowadays),PGS001085,European,0,2,0.234189198172276,0.5769605967815696
Alzheimer's/dementia (FH),PGS001347,European,0,2,0.01045512932329337,0.609190819224204
Angina,PGS001260,European,0,2,0.02860041284258247,0.7419870253920366
Ankylosing spondylitis,PGS001267,European,0,2,0.03240554340833097,0.7416116233553236
Arthritis (nos),PGS001135,European,87.74840801553829,2,8.162204563033658,0.6553668333778456
Aspirin,PGS001112,European,91.35439206986634,2,11.56656660909374,0.6978065166685167
Aspirin use self-reported,PGS001113,European,72.01991692797213,2,3.5739708042529585,0.6875144741194849
Asthma,PGS001341,European,67.86367494973324,2,3.111743481670126,0.6285841041909358
