performance_id,pgs_id,sampleset_id,reported_trait,ancestry_eval,train_bucket,auc_single,n_cases,n_controls,n_total,ci_lo_logit,ci_hi_logit
PPM000004,PGS000004,PSS000004,Invasive breast cancer,European,Train: European-only,0.63,11428,18323,29751,0.6233817042162161,0.6365697971829303
PPM000006,PGS000005,PSS000005,ER-positive breast cancer,European,Train: European-only,0.641,7992,3436,11428,0.630388930438786,0.6514748611068175
PPM000007,PGS000006,PSS000006,ER-negative breast cancer,European,Train: European-only,0.601,1259,10169,11428,0.5835442094323781,0.6182028353986618
PPM000008,PGS000007,PSS000004,Invasive breast cancer,European,Train: European-only,0.636,11428,18323,29751,0.6294017158442282,0.6425475245135454
PPM000009,PGS000008,PSS000005,ER-positive breast cancer,European,Train: European-only,0.647,7992,3436,11428,0.6364541278300694,0.6574046257943755
PPM000010,PGS000009,PSS000006,ER-negative breast cancer,European,Train: European-only,0.6,1259,10169,11428,0.5825452138513718,0.6172045349171568
PPM000011,PGS000001,PSS000004,Invasive breast cancer,European,Train: European-only,0.603,11428,18323,29751,0.596307674186721,0.6096540063262076
PPM000012,PGS000002,PSS000005,ER-positive breast cancer,European,Train: European-only,0.615,7992,3436,11428,0.6041309356927054,0.6257555070128278
PPM000013,PGS000003,PSS000006,ER-negative breast cancer,European,Train: European-only,0.584,1259,10169,11428,0.5665739720792533,0.6012185376326681
PPM000042,PGS000022,PSS000029,Type 1 diabetes,European,NA,0.8508,478,290,1447,0.8226122918511642,0.8751881590505949
PPM000043,PGS000022,PSS000028,Type 1 diabetes,Hispanic or Latin American,NA,0.9003,65,43,252,0.8265176913732131,0.944798368690597
PPM000044,PGS000022,PSS000027,Type 1 diabetes,African,NA,0.7522,84,63,299,0.6672911411412555,0.8212444995651954
PPM000048,PGS000024,PSS000032,Type 1 diabetes,European,Train: European-only,0.921,387,373613,374000,0.9002707997843925,0.9377186115396383
PPM000049,PGS000021,PSS000032,Type 1 diabetes,European,Train: European-only,0.893,387,373613,374000,0.86993187223331,0.9123889273840177
PPM000080,PGS000036,PSS000054,Type 2 diabetes,European,Train: Multi incl. EUR,0.66,13480,311390,324870,0.6548699029413735,0.6650928396444661
PPM000081,PGS000036,PSS000054,Type 2 diabetes,European,Train: Multi incl. EUR,0.73,13480,311390,324870,0.725050547513933,0.7348929330731244
PPM000093,PGS000040,PSS000059,Coeliac disease,European,Train: European-only,0.9,647,1829,2476,0.882311286810832,0.9152853514335756
PPM000094,PGS000040,PSS000061,Coeliac disease,European,Train: European-only,0.87,497,543,1040,0.8459731201343224,0.8907628543235825
PPM000095,PGS000040,PSS000062,Coeliac disease,European,Train: European-only,0.86,803,846,1649,0.8407148066365324,0.8772910705995101
PPM000096,PGS000040,PSS000063,Coeliac disease,European,Train: European-only,0.87,778,1422,2200,0.8518344496695078,0.8862358387479075
PPM000097,PGS000040,PSS000060,Coeliac disease,European,Train: European-only,0.87,5907,4397,10304,0.8630971259446103,0.8766045802162061
PPM000126,PGS000050,PSS000078,Breast cancer,East Asian,Train: East Asian-only,0.606,11905,11662,23567,0.5988149683030163,0.613139484405883
PPM000383,PGS000013,PSS000219,Coronary artery disease (personal history),European,Train: Multi incl. EUR,0.86,126,10884,11010,0.8134482487382657,0.8964145698723589
PPM000385,PGS000016,PSS000217,Atrial Fibrillation (personal history),European,Train: Multi incl. EUR,0.78,239,10064,10303,0.7430862699449462,0.8129450275075109
PPM000386,PGS000007,PSS000218,Breast Cancer (personal history),European,Train: European-only,0.78,828,8701,9529,0.7603687901181239,0.7984492658841302
PPM000387,PGS000013,PSS000219,Coronary artery disease (personal history),European,Train: Multi incl. EUR,0.6,126,10884,11010,0.5464239700113115,0.6512862678038015
PPM000388,PGS000007,PSS000218,Breast Cancer (personal history),European,Train: European-only,0.63,828,8701,9529,0.6086482791360261,0.650855042729058
PPM000389,PGS000016,PSS000217,Atrial Fibrillation (personal history),European,Train: Multi incl. EUR,0.57,239,10064,10303,0.531466229795069,0.6077038956432154
PPM000405,PGS000126,PSS000233,Prevalent gout cases,European,Train: European-only,0.67,4908,329972,334880,0.661576001539921,0.6783162683881102
PPM000406,PGS000126,PSS000233,Prevalent gout cases,European,Train: European-only,0.84,4908,329972,334880,0.8329318019092152,0.8468241546081268
PPM000422,PGS000137,PSS000245,Primary open-angle glaucoma (POAG),European,Train: European-only,0.8,74,1721,1795,0.7317279108805844,0.854355878850496
PPM000430,PGS000138,PSS000250,Major Depressive Disorder status,European,Train: European-only,0.5611035,14696,22013,36709,0.5550741455123611,0.5671148684642132
PPM000431,PGS000139,PSS000250,Major Depressive Disorder status,European,Train: European-only,0.5487412,14696,22013,36709,0.5427033334667124,0.5547647489764885
PPM000432,PGS000140,PSS000250,Major Depressive Disorder status,European,Train: European-only,0.5319298,14696,22013,36709,0.5258877182159578,0.5379625328612263
PPM000433,PGS000141,PSS000250,Major Depressive Disorder status,European,Train: European-only,0.5298792,14696,22013,36709,0.5238371814363687,0.53591247380729
PPM000434,PGS000142,PSS000250,Major Depressive Disorder status,European,Train: European-only,0.5333024,14696,22013,36709,0.5272603458741749,0.5393347005468333
PPM000435,PGS000143,PSS000250,Major Depressive Disorder status,European,Train: European-only,0.5344061,14696,22013,36709,0.528364108843454,0.5404380120545388
PPM000436,PGS000144,PSS000250,Major Depressive Disorder status,European,Train: European-only,0.5164074,14696,22013,36709,0.5103689040382862,0.5224411084399782
PPM000437,PGS000145,PSS000250,Major Depressive Disorder status,European,Train: European-only,0.5251015,14696,22013,36709,0.5190601140332228,0.5311355470681386
PPM000563,PGS000192,PSS000292,Incident cardiovascular event,European,Train: Multi incl. EUR,0.8,238,3994,4232,0.7635374082012805,0.8320766060729905
PPM000598,PGS000011,PSS000333,Coronary heart disease (incident and prevalent),European,Train: Multi incl. EUR,0.75,8108,37537,45645,0.7434703215879584,0.756417926423724
PPM000599,PGS000013,PSS000333,Coronary heart disease (incident and prevalent),European,Train: Multi incl. EUR,0.77,8108,37537,45645,0.7636231398873919,0.7762552343232489
