trait_id,trait_label,efo_id,efo_label,reported_trait,n_rows
custom:type_2_diabetes,Type 2 diabetes,NA,NA,Type 2 diabetes,271
custom:breast_cancer,Breast cancer,NA,NA,Breast cancer,111
custom:prediabetes,Prediabetes,NA,NA,Prediabetes,107
custom:type_2_diabetes,Type 2 diabetes,NA,NA,Type 2 Diabetes,107
custom:incident_t2d_in_prediabetics,Incident T2D in prediabetics,NA,NA,Incident T2D in prediabetics,101
custom:gout,Gout,NA,NA,Gout,89
custom:inflammatory_bowel_disease,Inflammatory bowel disease,NA,NA,Inflammatory bowel disease,88
custom:prostate_cancer,Prostate cancer,NA,NA,Prostate cancer,84
custom:chronic_kidney_disease_or_dialysis,Chronic kidney disease or dialysis,NA,NA,Chronic kidney disease or dialysis,78
custom:stroke_excluding_subarachnoid_hemorrhage,Stroke excluding subarachnoid hemorrhage,NA,NA,Stroke excluding subarachnoid hemorrhage,78
custom:colorectal_cancer,Colorectal cancer,NA,NA,Colorectal cancer,72
custom:breast_cancer,Breast cancer,NA,NA,Breast cancer [female],69
custom:seropositive_ra,Seropositive RA,NA,NA,Seropositive RA,60
custom:type_1_diabetes,Type 1 diabetes,NA,NA,T1D,60
custom:5_year_incident_prostate_cancer,5-year incident prostate cancer,NA,NA,5-year incident prostate cancer,50
custom:breast_carcinoma,Breast Carcinoma,NA,NA,Breast Carcinoma,50
custom:hypertension,Hypertension,NA,NA,Hypertension,48
custom:incident_type_2_diabetes,Incident type 2 diabetes,NA,NA,Incident type 2 diabetes,48
custom:prostate_cancer,Prostate cancer,NA,NA,Cancer of prostate,33
custom:coronary_heart_disease,Coronary heart disease,NA,NA,Coronary heart disease,28
custom:coronary_heart_disease,Coronary heart disease,NA,NA,Coronary artery disease,27
custom:thyroid_cancer,Thyroid cancer,NA,NA,Thyroid cancer,27
custom:melanomas_of_skin_dx_or_hx,"Melanomas of skin, dx or hx",NA,NA,"Melanomas of skin, dx or hx",25
custom:smoking_status,Smoking Status,NA,NA,Smoking Status,25
custom:ad,AD,NA,NA,AD,21
custom:malignant_neoplasm_of_ovary,Malignant neoplasm of ovary,NA,NA,Malignant neoplasm of ovary,21
custom:atrial_fibrillation,Atrial fibrillation,NA,NA,Atrial fibrillation,18
custom:coronary_heart_disease_incident_and_prevalent_,Coronary heart disease (incident and prevalent),NA,NA,Coronary heart disease (incident and prevalent),18
custom:basal_cell_carcinoma,Basal cell carcinoma,NA,NA,Basal cell carcinoma,17
custom:skin_cancer,Skin cancer,NA,NA,Skin cancer,17
custom:rheumatoid_arthritis,Rheumatoid arthritis,NA,NA,Rheumatoid arthritis,16
custom:systemic_lupus_erythematosus,Systemic lupus erythematosus,NA,NA,Systemic lupus erythematosus,16
custom:ankylosing_spondylitis,Ankylosing spondylitis,NA,NA,Ankylosing spondylitis,15
custom:cancer_of_bladder,Cancer of bladder,NA,NA,Cancer of bladder,15
custom:incident_coronary_heart_disease,Incident coronary heart disease,NA,NA,Incident coronary heart disease,15
custom:psoriasis,Psoriasis,NA,NA,Psoriasis,15
custom:sleep_apnea,Sleep Apnea,NA,NA,Sleep Apnea,15
custom:asthma,Asthma,NA,NA,Asthma,14
custom:glaucoma,Glaucoma,NA,NA,Glaucoma,13
custom:colon_cancer,Colon cancer,NA,NA,Colon cancer,12
custom:other_non_epithelial_cancer_of_skin,Other non-epithelial cancer of skin,NA,NA,Other non-epithelial cancer of skin,12
custom:lung_cancer,Lung cancer,NA,NA,Lung cancer,11
custom:multiple_sclerosis,Multiple sclerosis,NA,NA,Multiple sclerosis,11
custom:squamous_cell_carcinoma,Squamous cell carcinoma,NA,NA,Squamous cell carcinoma,11
custom:type_1_diabetes,Type 1 diabetes,NA,NA,Type 1 diabetes,11
custom:cancer_of_bronchus_lung,Cancer of bronchus; lung,NA,NA,Cancer of bronchus; lung,10
custom:essential_hypertension,Essential hypertension,NA,NA,Essential hypertension,10
custom:insomnia,Insomnia,NA,NA,Insomnia,10
custom:malignant_neoplasm_of_testis,Malignant neoplasm of testis,NA,NA,Malignant neoplasm of testis,10
custom:psoriatic_arthropathy,Psoriatic arthropathy,NA,NA,Psoriatic arthropathy,10
custom:thinness,Thinness,NA,NA,Thinness,10
custom:cancer_of_esophagus,Cancer of esophagus,NA,NA,Cancer of esophagus,9
custom:cataract,Cataract,NA,NA,Cataract,9
custom:cervical_cancer,Cervical cancer,NA,NA,Cervical cancer,9
custom:inguinal_hernia,Inguinal hernia,NA,NA,Inguinal hernia,9
custom:migraine,Migraine,NA,NA,Migraine,9
custom:type_1_diabetes,type 1 diabetes,NA,NA,type 1 diabetes,9
