trait_label,trained_bucket,target_ancestry,n_pairs,delta_hat,se_hat,all_not_pooled,lo,hi,delta_hat_logit_as_submitted,se_hat_logit_as_submitted,lo_logit_as_submitted,hi_logit_as_submitted,pooled_group,trait_clean
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,2,-0.015007342309641613,0.008955303743747065,TRUE,-0.03255973764738586,0.002545053028102635,-0.015010314718264159,0.04034346372139599,-0.09408350361220029,0.06406287417567198,TRUE,"Apparent Treatment-Resistant
Hypertension"
Breast Carcinoma,Train: European-only,African,4,-0.0527691520714337,0.019218429502422384,FALSE,-0.09043727389618157,-0.015101030246685826,-0.053228059744311135,0.0805186493472829,-0.2110446124649856,0.10458849297636333,FALSE,Breast Carcinoma
Breast Carcinoma,Train: European-only,South Asian,4,-0.003503949061665266,0.014832991973077329,FALSE,-0.03257661332889683,0.0255687152055663,-0.003567138072342114,0.06555623567415719,-0.1320573599936902,0.12492308384900598,FALSE,Breast Carcinoma
Breast cancer,Train: European-only,East Asian,1,-0.04832585954109281,0.02356378436844298,TRUE,-0.09451087690324105,-0.0021408421789445714,-0.048325859541092815,0.12958333784355533,-0.30230920171446124,0.20565748263227562,TRUE,Breast cancer
Breast cancer,Train: European-only,South Asian,11,-0.023141716438275492,0.004305296483407145,FALSE,-0.0315800975457535,-0.014703335330797488,-0.02779405917792702,0.019015957907620656,-0.06506533667686351,0.009477218321009468,FALSE,Breast cancer
Breast cancer,Train: Multi incl. EUR,East Asian,1,-0.009999999999999898,0.05865547446114814,TRUE,-0.12496472994385024,0.10496472994385045,-0.0099999999999999,0.24928880548347546,-0.49860605874761177,0.478606058747612,TRUE,Breast cancer
Colorectal cancer,Train: European-only,African,1,-0.10704898666120044,0.02780273585452884,FALSE,-0.16154234893607697,-0.05255562438632392,-0.10704898666120044,0.11221996837829921,-0.3270001246826669,0.11290215136026602,FALSE,Colorectal cancer
Colorectal cancer,Train: European-only,East Asian,1,-0.04432621120828717,0.032772487540457584,TRUE,-0.10856028678758403,0.019907864371009693,-0.04432621120828717,0.1368361243333403,-0.31252501490163415,0.2238725924850598,TRUE,Colorectal cancer
Colorectal cancer,Train: European-only,Hispanic or Latin American,1,-0.05071728498401462,0.02431869340562888,FALSE,-0.09838192405904722,-0.0030526459089820143,-0.05071728498401462,0.10114083713559471,-0.24895332576978024,0.147518755801751,FALSE,Colorectal cancer
Colorectal cancer,Train: Multi incl. EUR,African,2,-0.04178303950009832,0.007153722767796276,TRUE,-0.055804336124979016,-0.02776174287521762,-0.04160535108074762,0.029729804982896235,-0.09987576884722424,0.016665066685729,TRUE,Colorectal cancer
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,2,-0.02500451012139637,0.006486593325997766,TRUE,-0.03771823304035199,-0.012290787202440749,-0.024843188271789482,0.027387162175100416,-0.0785220261349863,0.02883564959140733,TRUE,Colorectal cancer
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,4,0.007348232995708681,0.0051861630371520745,TRUE,-0.0028166465571093846,0.017513112548526746,0.007563780111226538,0.029056732896376558,-0.04938741636567151,0.06451497658812459,TRUE,"Coronary heart disease (incident and
prevalent)"
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,4,0.01696787099233745,0.007173286386234232,TRUE,0.002908229675318357,0.031027512309356547,0.016938395864147773,0.04140629380852673,-0.0642179400005646,0.09809473172886016,TRUE,"Coronary heart disease (incident and
prevalent)"
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,2,-0.051498874168417884,0.00958922905793968,TRUE,-0.07029376312197966,-0.03270398521485611,-0.05149237575176198,0.03941457444727061,-0.12874494166841238,0.02576019016488841,TRUE,Epithelial non-mucinous ovarian cancer
