ancestry_target,bucket,trait,median_delta,estimate,p.value,n_pairs,flag_not_pooled,estimate_logit_as_submitted,p_value_logit_as_submitted,p.adj,p_adj_logit_as_submitted,sig
African,Train: European-only,AD NSTEMI,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,AD all cause dementia,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,AD alzheimer's disease,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,AD asthma,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,AD chronic obstructive pulmonary disease,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Advanced colorectal neoplasia (FOB Gold model),NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Advanced colorectal neoplasia (Ridascreen model),NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Advanced glaucoma,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Age-related macular degeneration,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Alcohol consumed,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Alcohol intake versus 10 years previously (More nowadays),NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,All-cause dementia,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Alzheimer's disease,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Alzheimer's/dementia (FH),NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Angina,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Ankylosing spondylitis,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Any Cancer,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Appendectomy,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Aspirin use self-reported,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Asthma,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Asthma diagnosed by doctor,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,"Asthma ever, at age 8 years",NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Atherosclerotic cardiovascular disease (incident and prevalent),NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Atrial fibrillation,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Basal cell carcinoma,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Bladder cancer,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Blood clot diagnosed by doctor,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Blood clot in the leg (DVT),NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Blood clot in the leg (DVT) or lung,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Blood clot in the lung,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Blood clot or DVT diagnosed by doctor,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Breast Carcinoma,-0.06020979583640529,-0.052769152071433685,0.021991225988837487,4,FALSE,-0.053228059744311135,0.021095569829996948,0.06293040852034329,0.0638338993752408,FALSE
African,Train: European-only,Breast cancer,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Breast cancer (FH),NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Breast cancer in male carriers of BRCA1/2 mutations,NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Breast cancer intrinsic-like subtype (HER2-enriched-like),NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Breast cancer intrinsic-like subtype (luminal A-like),NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Breast cancer intrinsic-like subtype (luminal B-like),NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Breast cancer intrinsic-like subtype (luminal B/HER2-negative-like),NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
African,Train: European-only,Breast cancer intrinsic-like subtype (triple negative),NA,NA,NA,0,FALSE,NA,NA,NA,NA,FALSE
