pgs_id,ancestry_display,train_bucket,n_eval,cases_total,ctrls_total,auc_mean_w,auc_mean_unw,n_records,n_label
PGS000004,European,Train: European-only,9382238,41515,846072,0.6641857718866676,0.6410578947368422,19,9M
PGS000004,African,Train: European-only,31040,7791,12532,0.576456078417602,0.5821999999999999,5,31K
PGS000004,East Asian,Train: European-only,2010,207,1803,0.64,0.64,1,2K
PGS000004,Hispanic or Latin American,Train: European-only,5499,367,5132,0.6279403188647856,0.615,2,5K
PGS000011,European,Train: Multi incl. EUR,45645,8108,37537,0.75,0.75,1,46K
PGS000011,African,Train: Multi incl. EUR,7597,838,6759,0.763,0.763,1,8K
PGS000011,Hispanic or Latin American,Train: Multi incl. EUR,268907,5582,130118,0.7385031602291702,0.74475,4,269K
PGS000013,European,Train: Multi incl. EUR,925613,47411,867844,0.6968168131169655,0.7548823529411764,17,926K
PGS000013,African,Train: Multi incl. EUR,7597,838,6759,0.771,0.771,1,8K
PGS000013,East Asian,Train: Multi incl. EUR,901,265,636,0.9199999999999999,0.92,1,901
PGS000013,South Asian,Train: Multi incl. EUR,8893,2047,6846,0.7784956707522772,0.7189666666666666,3,9K
PGS000013,Hispanic or Latin American,Train: Multi incl. EUR,275955,5582,130118,0.7359724740571928,0.7248,5,276K
PGS000014,European,Train: European-only,643176,27002,616174,0.7196438764482854,0.7203333333333333,3,643K
PGS000014,East Asian,Train: European-only,2581,281,2300,0.6209246833500068,0.645,2,3K
PGS000014,South Asian,Train: European-only,7844,1447,6397,0.7018447325635431,0.675,2,8K
PGS000014,Hispanic or Latin American,Train: European-only,33652,4033,29619,0.757,0.757,1,34K
PGS000014,Middle Eastern or North African,Train: European-only,6677,2466,4211,0.6593866105055618,0.7,2,7K
PGS000018,European,Train: Multi incl. EUR,537268,38337,498917,0.6728176096471119,0.7311583333333334,12,537K
PGS000018,African,Train: Multi incl. EUR,7597,838,6759,0.7750000000000001,0.775,1,8K
PGS000018,Hispanic or Latin American,Train: Multi incl. EUR,268907,5582,130118,0.74097070880971,0.753,4,269K
PGS000018,Middle Eastern or North African,Train: Multi incl. EUR,7023,1014,6009,0.686,0.686,1,7K
PGS000022,European,NA,1447,478,290,0.8508,0.8508,1,1K
PGS000022,African,NA,299,84,63,0.7522,0.7522,1,299
PGS000022,Hispanic or Latin American,NA,252,65,43,0.9003,0.9003,1,252
PGS000023,European,Train: African-only,60019,0,0,0.7894520068644928,0.7893333333333333,3,60K
PGS000023,African,Train: African-only,13544,0,0,0.8114155345540459,0.7989999999999999,2,14K
PGS000023,Hispanic or Latin American,Train: African-only,20793,0,0,0.8148029144423604,0.7989999999999999,2,21K
PGS000024,European,Train: European-only,480624,6979,385936,0.8700655356477494,0.8717142857142857,7,481K
PGS000024,African,Train: European-only,13910,0,0,0.8307682961897914,0.8493333333333333,3,14K
PGS000024,Hispanic or Latin American,Train: European-only,21205,0,0,0.827367271869842,0.8773333333333333,3,21K
PGS000036,European,Train: Multi incl. EUR,680236,34629,644439,0.722303830523148,0.70625,4,680K
PGS000036,African,Train: Multi incl. EUR,366,0,0,0.574,0.574,1,366
PGS000036,East Asian,Train: Multi incl. EUR,2581,281,2300,0.6421284491825064,0.665,2,3K
PGS000036,South Asian,Train: Multi incl. EUR,7844,1447,6397,0.6998792364383112,0.679,2,8K
PGS000036,Hispanic or Latin American,Train: Multi incl. EUR,34064,4033,29619,0.7579566530501491,0.7404999999999999,2,34K
PGS000036,Middle Eastern or North African,Train: Multi incl. EUR,4938,2469,2469,0.83,0.83,1,5K
PGS000039,European,Train: Multi incl. EUR,12792,173,12619,0.685,0.685,1,13K
PGS000039,African,Train: Multi incl. EUR,3434,1691,1743,0.547,0.547,1,3K
PGS000039,East Asian,Train: Multi incl. EUR,129611,2869,126742,0.7010881133343151,0.702,2,130K
PGS000200,European,Train: Multi incl. EUR,45645,8108,37537,0.748,0.748,1,46K
PGS000200,African,Train: Multi incl. EUR,7597,838,6759,0.763,0.763,1,8K
PGS000200,Hispanic or Latin American,Train: Multi incl. EUR,2493,419,2074,0.7710000000000001,0.771,1,2K
PGS000330,European,Train: European-only,109021,10069,98952,0.726,0.726,1,109K
PGS000330,East Asian,Train: European-only,2581,281,2300,0.6474403743187553,0.6665,2,3K
PGS000330,South Asian,Train: European-only,7844,1447,6397,0.7158619845009271,0.692,2,8K
PGS000330,Hispanic or Latin American,Train: European-only,33652,4033,29619,0.768,0.768,1,34K
PGS000330,Middle Eastern or North African,Train: European-only,4534,2267,2267,0.646,0.646,1,5K
PGS000337,East Asian,Train: Multi incl. EUR,10999,1827,9172,0.674,0.674,1,11K
PGS000337,Hispanic or Latin American,Train: Multi incl. EUR,266414,5163,128044,0.7411836213168038,0.7403333333333333,3,266K
PGS000337,Middle Eastern or North African,Train: Multi incl. EUR,7023,1014,6009,0.667,0.667,1,7K
PGS000662,European,Train: Multi incl. EUR,207538,7531,200007,0.8351490272263976,0.8586666666666667,3,208K
PGS000662,African,Train: Multi incl. EUR,932,476,456,0.961,0.961,1,932
PGS000662,East Asian,Train: Multi incl. EUR,1813,757,748,0.9200566996178098,0.8405,2,2K
PGS000662,Hispanic or Latin American,Train: Multi incl. EUR,880,442,438,0.961,0.961,1,880
PGS000713,European,Train: European-only,196434,10069,98952,0.6950771480054195,0.7,2,196K
PGS000713,East Asian,Train: European-only,2581,281,2300,0.644702088355009,0.6759999999999999,2,3K
PGS000713,South Asian,Train: European-only,7844,1447,6397,0.7110817936105048,0.6819999999999999,2,8K
PGS000713,Hispanic or Latin American,Train: European-only,33652,4033,29619,0.7619999999999999,0.762,1,34K
PGS000713,Middle Eastern or North African,Train: European-only,6677,2466,4211,0.6692492300546193,0.7095,2,7K
PGS000729,European,Train: European-only,109021,10069,98952,0.712,0.712,1,109K
PGS000729,East Asian,Train: European-only,2581,281,2300,0.645835353208756,0.6665,2,3K
PGS000729,South Asian,Train: European-only,7844,1447,6397,0.7088619845009271,0.685,2,8K
PGS000729,Hispanic or Latin American,Train: European-only,33652,4033,29619,0.761,0.761,1,34K
PGS000804,European,Train: Multi incl. EUR,423729,19786,403943,0.825,0.825,1,424K
PGS000804,African,Train: Multi incl. EUR,15609,5972,9637,0.6701,0.6701,1,16K
PGS000804,Hispanic or Latin American,Train: Multi incl. EUR,20486,4137,16349,0.7293000000000001,0.7293,1,20K
PGS000804,Middle Eastern or North African,Train: Multi incl. EUR,11615,4935,6680,0.7454990472362802,0.7473333333333333,3,12K
PGS000805,European,Train: European-only,532750,29855,502895,0.7866891089865534,0.76615,2,533K
PGS000805,East Asian,Train: European-only,2581,281,2300,0.649224055711257,0.6735,2,3K
PGS000805,South Asian,Train: European-only,7844,1447,6397,0.7150236448678683,0.6975,2,8K
PGS000805,Hispanic or Latin American,Train: European-only,33652,4033,29619,0.764,0.764,1,34K
PGS000805,Middle Eastern or North African,Train: European-only,6677,2466,4211,0.6658370887017918,0.7050000000000001,2,7K
PGS000864,European,Train: European-only,109021,10069,98952,0.687,0.687,1,109K
PGS000864,East Asian,Train: European-only,2581,281,2300,0.6187271939050065,0.6419999999999999,2,3K
PGS000864,South Asian,Train: European-only,7844,1447,6397,0.6866421753913492,0.6679999999999999,2,8K
PGS000864,Hispanic or Latin American,Train: European-only,33652,4033,29619,0.745,0.745,1,34K
PGS000868,European,Train: European-only,109021,10069,98952,0.696,0.696,1,109K
PGS000868,East Asian,Train: European-only,2581,281,2300,0.6408228004337571,0.6655,2,3K
