pgs_id,train_bucket,pair,delta_auc,auc_A,auc_B,efo_id,efo_label
PGS000004,Train: European-only,African vs European,-0.08772969346906556,0.6641857718866676,0.576456078417602,MONDO_0004989,breast carcinoma
PGS000011,Train: Multi incl. EUR,African vs European,0.013000000000000012,0.75,0.763,MONDO_0005010,coronary artery disorder
PGS000013,Train: Multi incl. EUR,African vs European,0.07418318688303449,0.6968168131169655,0.771,MONDO_0005010,coronary artery disorder
PGS000018,Train: Multi incl. EUR,African vs European,0.10218239035288823,0.6728176096471119,0.7750000000000001,MONDO_0005010,coronary artery disorder
PGS000022,NA,African vs European,-0.09860000000000002,0.8508,0.7522,MONDO_0005147,type 1 diabetes mellitus
PGS000023,Train: African-only,African vs European,0.02196352768955312,0.7894520068644928,0.8114155345540459,MONDO_0005147,type 1 diabetes mellitus
PGS000024,Train: European-only,African vs European,-0.03929723945795793,0.8700655356477494,0.8307682961897914,MONDO_0005147,type 1 diabetes mellitus
PGS000036,Train: Multi incl. EUR,African vs European,-0.148303830523148,0.722303830523148,0.574,MONDO_0005148,type 2 diabetes mellitus
PGS000200,Train: Multi incl. EUR,African vs European,0.015000000000000013,0.748,0.763,MONDO_0005010,coronary artery disorder
PGS000662,Train: Multi incl. EUR,African vs European,0.12585097277360235,0.8351490272263976,0.961,MONDO_0005159,prostate carcinoma
PGS000804,Train: Multi incl. EUR,African vs European,-0.15489999999999993,0.825,0.6701,MONDO_0005148,type 2 diabetes mellitus
PGS002308,Train: Multi incl. EUR,African vs European,-0.06604574852179479,0.793,0.7269542514782052,MONDO_0005148,type 2 diabetes mellitus
PGS004859,Train: Multi incl. EUR,African vs European,-0.0037362374531423326,0.7585487642842496,0.7548125268311072,MONDO_0005148,type 2 diabetes mellitus
PGS005237,Train: Multi incl. EUR,African vs European,0.02530051207911299,0.770699487920887,0.796,MONDO_0005159,prostate carcinoma
PGS005238,Train: Multi incl. EUR,African vs European,0.017193682869997784,0.7808063171300023,0.798,MONDO_0005159,prostate carcinoma
PGS005239,Train: Multi incl. EUR,African vs European,0.027499179074317315,0.7725008209256827,0.8,MONDO_0005159,prostate carcinoma
PGS005240,Train: Multi incl. EUR,African vs European,0.0151515427572807,0.7778484572427193,0.793,MONDO_0005159,prostate carcinoma
PGS005241,Train: Multi incl. EUR,African vs European,0.03888101352421991,0.7491189864757801,0.788,MONDO_0005159,prostate carcinoma
PGS005345,Train: European-only,African vs European,-0.019333832785862648,0.6453338327858628,0.6260000000000001,MONDO_0004989,breast carcinoma
PGS005346,Train: European-only,African vs European,-0.07539132864270015,0.6673913286427001,0.592,MONDO_0004989,breast carcinoma
PGS005347,Train: European-only,African vs European,-0.06458342806250117,0.6625834280625011,0.598,MONDO_0004989,breast carcinoma
PGS005348,Train: European-only,African vs European,-0.05508318354163777,0.6660831835416378,0.611,MONDO_0004989,breast carcinoma
PGS005349,Train: European-only,African vs European,-0.04355466125736551,0.6485546612573655,0.605,MONDO_0004989,breast carcinoma
PGS012555,Train: Multi incl. EUR,African vs European,-0.09407882609183804,0.8074693867112124,0.7133905606193743,MONDO_0005147,type 1 diabetes mellitus
PGS000004,Train: European-only,African vs East Asian,-0.06354392158239797,0.64,0.576456078417602,MONDO_0004989,breast carcinoma
PGS000013,Train: Multi incl. EUR,African vs East Asian,-0.1489999999999999,0.9199999999999999,0.771,MONDO_0005010,coronary artery disorder
PGS000036,Train: Multi incl. EUR,African vs East Asian,-0.06812844918250649,0.6421284491825064,0.574,MONDO_0005148,type 2 diabetes mellitus
PGS000662,Train: Multi incl. EUR,African vs East Asian,0.040943300382190184,0.9200566996178098,0.961,MONDO_0005159,prostate carcinoma
PGS002308,Train: Multi incl. EUR,African vs East Asian,-0.06435087461578282,0.7913051260939881,0.7269542514782052,MONDO_0005148,type 2 diabetes mellitus
PGS004859,Train: Multi incl. EUR,African vs East Asian,-0.04018747316889271,0.7949999999999999,0.7548125268311072,MONDO_0005148,type 2 diabetes mellitus
PGS012555,Train: Multi incl. EUR,African vs East Asian,-0.09660943938062572,0.81,0.7133905606193743,MONDO_0005147,type 1 diabetes mellitus
PGS000013,Train: Multi incl. EUR,African vs South Asian,-0.007495670752277195,0.7784956707522772,0.771,MONDO_0005010,coronary artery disorder
PGS000036,Train: Multi incl. EUR,African vs South Asian,-0.12587923643831123,0.6998792364383112,0.574,MONDO_0005148,type 2 diabetes mellitus
PGS004859,Train: Multi incl. EUR,African vs South Asian,-0.060187473168892835,0.8150000000000001,0.7548125268311072,MONDO_0005148,type 2 diabetes mellitus
PGS005237,Train: Multi incl. EUR,African vs South Asian,-0.04899999999999993,0.845,0.796,MONDO_0005159,prostate carcinoma
PGS005238,Train: Multi incl. EUR,African vs South Asian,-0.04399999999999993,0.842,0.798,MONDO_0005159,prostate carcinoma
PGS005239,Train: Multi incl. EUR,African vs South Asian,-0.03399999999999992,0.834,0.8,MONDO_0005159,prostate carcinoma
PGS005240,Train: Multi incl. EUR,African vs South Asian,-0.04299999999999993,0.836,0.793,MONDO_0005159,prostate carcinoma
PGS005241,Train: Multi incl. EUR,African vs South Asian,-0.017000000000000015,0.805,0.788,MONDO_0005159,prostate carcinoma
PGS005345,Train: European-only,African vs South Asian,-0.03299999999999992,0.659,0.6260000000000001,MONDO_0004989,breast carcinoma
PGS005346,Train: European-only,African vs South Asian,-0.07800000000000007,0.67,0.592,MONDO_0004989,breast carcinoma
PGS005347,Train: European-only,African vs South Asian,-0.08000000000000007,0.678,0.598,MONDO_0004989,breast carcinoma
PGS005348,Train: European-only,African vs South Asian,-0.04600000000000004,0.657,0.611,MONDO_0004989,breast carcinoma
PGS005349,Train: European-only,African vs South Asian,-0.08799999999999997,0.693,0.605,MONDO_0004989,breast carcinoma
PGS012555,Train: Multi incl. EUR,African vs South Asian,-0.02260943938062565,0.736,0.7133905606193743,MONDO_0005147,type 1 diabetes mellitus
PGS000004,Train: European-only,Hispanic or Latin American vs East Asian,-0.012059681135214384,0.64,0.6279403188647856,MONDO_0004989,breast carcinoma
PGS000013,Train: Multi incl. EUR,Hispanic or Latin American vs East Asian,-0.18402752594280714,0.9199999999999999,0.7359724740571928,MONDO_0005010,coronary artery disorder
PGS000014,Train: European-only,Hispanic or Latin American vs East Asian,0.13607531664999317,0.6209246833500068,0.757,MONDO_0005148,type 2 diabetes mellitus
PGS000036,Train: Multi incl. EUR,Hispanic or Latin American vs East Asian,0.1158282038676427,0.6421284491825064,0.7579566530501491,MONDO_0005148,type 2 diabetes mellitus
PGS000330,Train: European-only,Hispanic or Latin American vs East Asian,0.12055962568124468,0.6474403743187553,0.768,MONDO_0005148,type 2 diabetes mellitus
PGS000337,Train: Multi incl. EUR,Hispanic or Latin American vs East Asian,0.06718362131680378,0.674,0.7411836213168038,MONDO_0005010,coronary artery disorder
