pgs_id,n_eval_rows,n_ancestries_display,n_ancestries_raw,efo_any,efo_label_any,train_bucket
PGS004859,14,6,6,MONDO_0005148,type 2 diabetes mellitus,Train: Multi incl. EUR
PGS000036,12,6,6,MONDO_0005148,type 2 diabetes mellitus,Train: Multi incl. EUR
PGS000013,27,5,5,MONDO_0005010,coronary artery disorder,Train: Multi incl. EUR
PGS001781,15,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS005091,14,5,5,MONDO_0005010,coronary artery disorder,Train: Multi incl. EUR
PGS005092,14,5,5,MONDO_0005010,coronary artery disorder,Train: Multi incl. EUR
PGS002308,12,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: Multi incl. EUR
PGS012555,11,5,5,MONDO_0005147,type 1 diabetes mellitus,Train: Multi incl. EUR
PGS000014,10,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS001357,10,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS003103,10,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS000713,9,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS000805,9,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS002243,9,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS002780,9,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS003443,9,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: Multi incl. EUR
PGS000868,8,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS001818,8,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS002026,8,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS002671,8,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS002771,8,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS003444,8,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: Multi excl. EUR
PGS000330,7,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS003867,7,5,5,MONDO_0005148,type 2 diabetes mellitus,Train: Multi incl. EUR
PGS000004,27,4,5,MONDO_0004989,breast carcinoma,Train: European-only
PGS000018,18,4,4,MONDO_0005010,coronary artery disorder,Train: Multi incl. EUR
PGS000662,7,4,4,MONDO_0005159,prostate carcinoma,Train: Multi incl. EUR
PGS003445,7,4,4,MONDO_0005148,type 2 diabetes mellitus,Train: Multi excl. EUR
PGS003851,7,4,4,MONDO_0005575,colorectal cancer,Train: European-only
PGS004923,7,4,4,MONDO_0005148,type 2 diabetes mellitus,Train: Multi incl. EUR
PGS000729,6,4,4,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS000804,6,4,4,MONDO_0005148,type 2 diabetes mellitus,Train: Multi incl. EUR
PGS000864,6,4,4,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS001294,6,4,4,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS001339,6,4,4,MONDO_0004981|MONDO_0005310,atrial fibrillation|atrial flutter,Train: European-only
PGS001340,6,4,4,MONDO_0004981,atrial fibrillation,Train: European-only
PGS002265,6,4,4,MONDO_0005575,colorectal cancer,Train: European-only
PGS002727,4,4,4,MONDO_0004979,asthma,Train: Multi incl. EUR
PGS004696,4,4,4,MONDO_0005010,coronary artery disorder,Train: Multi incl. EUR
PGS004697,4,4,4,MONDO_0005010,coronary artery disorder,Train: Multi incl. EUR
PGS004698,4,4,4,MONDO_0005010,coronary artery disorder,Train: Multi incl. EUR
PGS000024,13,3,3,MONDO_0005147,type 1 diabetes mellitus,Train: European-only
PGS003982,8,3,3,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS003998,8,3,3,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS004014,8,3,3,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS004024,8,3,3,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS004039,8,3,3,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS004052,8,3,3,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS004068,8,3,3,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS004082,8,3,3,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS004106,8,3,3,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS004122,8,3,3,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS004136,8,3,3,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS004152,8,3,3,MONDO_0005148,type 2 diabetes mellitus,Train: European-only
PGS000023,7,3,3,MONDO_0005147,type 1 diabetes mellitus,Train: African-only
PGS005331,7,3,3,EFO_0004340,body mass index,Train: Multi incl. EUR
PGS005335,7,3,3,MONDO_0005148,type 2 diabetes mellitus,Train: Multi incl. EUR
PGS000011,6,3,3,MONDO_0005010,coronary artery disorder,Train: Multi incl. EUR
PGS000933,6,3,3,HP_0100582,Nasal polyposis,Train: European-only
PGS000934,6,3,3,HP_0100582,Nasal polyposis,Train: European-only
PGS000337,5,3,3,MONDO_0005010,coronary artery disorder,Train: Multi incl. EUR
PGS003860,5,3,3,EFO_0007814,refractive error measurement,Train: European-only
PGS004863,5,3,3,MONDO_0004975,Alzheimer disease,Train: Multi incl. EUR
PGS005237,5,3,3,MONDO_0005159,prostate carcinoma,Train: Multi incl. EUR
PGS005238,5,3,3,MONDO_0005159,prostate carcinoma,Train: Multi incl. EUR
PGS005239,5,3,3,MONDO_0005159,prostate carcinoma,Train: Multi incl. EUR
PGS005240,5,3,3,MONDO_0005159,prostate carcinoma,Train: Multi incl. EUR
PGS005241,5,3,3,MONDO_0005159,prostate carcinoma,Train: Multi incl. EUR
PGS005345,5,3,3,MONDO_0004989,breast carcinoma,Train: European-only
PGS005346,5,3,3,MONDO_0004989,breast carcinoma,Train: European-only
PGS005347,5,3,3,MONDO_0004989,breast carcinoma,Train: European-only
PGS005348,5,3,3,MONDO_0004989,breast carcinoma,Train: European-only
PGS005349,5,3,3,MONDO_0004989,breast carcinoma,Train: European-only
PGS000039,4,3,3,HP_0002140|MONDO_0005098,Ischemic stroke|stroke disorder,Train: Multi incl. EUR
PGS000925,4,3,3,MONDO_0024355,respiratory tract infectious disorder,Train: European-only
PGS000927,4,3,3,MONDO_0002406,dermatitis,Train: European-only
PGS000928,4,3,3,MONDO_0001658,nontoxic goiter,Train: European-only
PGS000929,4,3,3,MONDO_0001627,dementia,Train: European-only
PGS000930,4,3,3,MONDO_0000831,thrombotic disease,Train: European-only
PGS000931,4,3,3,EFO_0003907|MONDO_0000831,deep vein thrombosis|thrombotic disease,Train: European-only
PGS000932,4,3,3,MONDO_0000812,vertebral column disorder,Train: European-only
PGS000936,4,3,3,HP_0003124,Hypercholesterolemia,Train: European-only
PGS000937,4,3,3,HP_0002619,Varicose veins,Train: European-only
PGS000938,4,3,3,HP_0002619,Varicose veins,Train: European-only
PGS000939,4,3,3,HP_0002036,Hiatus hernia,Train: European-only
PGS000941,4,3,3,HP_0001094,Iridocyclitis,Train: European-only
PGS000942,4,3,3,HP_0001082,Cholecystitis,Train: European-only
PGS000943,4,3,3,HP_0001082,Cholecystitis,Train: European-only
PGS000944,4,3,3,HP_0000964|MONDO_0002406,Eczematoid dermatitis|dermatitis,Train: European-only
PGS000947,4,3,3,HP_0000155,Oral ulcer,Train: European-only
PGS000948,4,3,3,HP_0000023,Inguinal hernia,Train: European-only
PGS000949,4,3,3,HP_0000023,Inguinal hernia,Train: European-only
PGS000950,4,3,3,GO_0009314,response to radiation,Train: European-only
PGS000957,4,3,3,MONDO_0001134,essential hypertension,Train: European-only
PGS000958,4,3,3,MONDO_0001134,essential hypertension,Train: European-only
PGS000959,4,3,3,MONDO_0003900,connective tissue disorder,Train: European-only
