pgs_id,delta,delta_se,tgt_key,group_label,kept,n_in_group
PGS001295,-0.02694586135951116,0.0222580185664434,PSS004315,"UKB, 7,831 people",TRUE,1
PGS004106,-0.01866481786802898,0.00353033242012273,PSS011249;PSS011291,"G&H, 44,057 people + UKB,  9,326 people",TRUE,1
PGS000330,-0.00199999999999989,0.00774235642503924,PSS011749,"UKB, 6,992 people  (10 scores on this sample set)",TRUE,10
PGS000713,0.009,0.00830713444838959,PSS011749,"UKB, 6,992 people  (10 scores on this sample set)",FALSE,10
PGS000729,0.005,0.00783768791738053,PSS011749,"UKB, 6,992 people  (10 scores on this sample set)",FALSE,10
PGS000864,0.00599999999999989,0.00832117591897946,PSS011749,"UKB, 6,992 people  (10 scores on this sample set)",FALSE,10
PGS000868,0.01500000000000001,0.0080720441750958,PSS011749,"UKB, 6,992 people  (10 scores on this sample set)",FALSE,10
PGS001818,0.01400000000000001,0.00807252380385844,PSS011749,"UKB, 6,992 people  (10 scores on this sample set)",FALSE,10
PGS002026,0.01,0.00807256878693522,PSS011749,"UKB, 6,992 people  (10 scores on this sample set)",FALSE,10
PGS002671,0.0169999999999999,0.0079948214094192,PSS011749,"UKB, 6,992 people  (10 scores on this sample set)",FALSE,10
PGS002771,0.00700000000000011,0.00784011394350529,PSS011749,"UKB, 6,992 people  (10 scores on this sample set)",FALSE,10
PGS002780,0.0189999999999999,0.00832293607937338,PSS011749,"UKB, 6,992 people  (10 scores on this sample set)",FALSE,10
