performance_id,pgs_id,sampleset_id,reported_trait,ancestry_display,train_bucket,auc,ci_source,cohort_txt,note
PPM019121,PGS003968,PSS011189,Systolic blood pressure,European,Train: Multi incl. EUR,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM019122,PGS003964,PSS011189,Diastolic blood pressure,European,Train: Multi incl. EUR,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020764,PGS004603,PSS011396,Systolic blood pressure,African,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020765,PGS004604,PSS011396,Diastolic blood pressure,African,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020766,PGS004605,PSS011396,Pulse pressure,African,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020806,PGS004621,PSS011418,Cirrhosis,European,Train: European-only,0.68,inferred_hm,deCODE|EB|MyCode|FinnGen|IHCS|CHB|AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020926,PGS004701,PSS011478,A1c,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020928,PGS004703,PSS011478,A1c,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020930,PGS004705,PSS011465,Atrial Fibrillation,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020931,PGS004706,PSS011465,Atrial Fibrillation,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020932,PGS004707,PSS011480,Albumin,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020934,PGS004709,PSS011480,Albumin,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020936,PGS004711,PSS011455,Alkaline phosphatase,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020938,PGS004713,PSS011455,Alkaline phosphatase,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020940,PGS004715,PSS011457,Alanine aminotransferase,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020942,PGS004717,PSS011457,Alanine aminotransferase,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020944,PGS004719,PSS011481,Aspartate aminotransferase,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020946,PGS004721,PSS011481,Aspartate aminotransferase,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020948,PGS004723,PSS011465,Asthma,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020950,PGS004725,PSS011465,Asthma,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020952,PGS004727,PSS011482,Basophil count,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020954,PGS004729,PSS011482,Basophil count,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020956,PGS004731,PSS011483,Total bilirubin,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020957,PGS004732,PSS011483,Total bilirubin,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020958,PGS004733,PSS011484,Body mass index,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020960,PGS004735,PSS011484,Body mass index,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020962,PGS004737,PSS011486,Breast cancer,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020963,PGS004738,PSS011486,Breast cancer,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020964,PGS004739,PSS011461,Urea,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020966,PGS004741,PSS011461,Urea,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020968,PGS004743,PSS011487,Coronary artery disease,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020970,PGS004745,PSS011487,Coronary artery disease,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020972,PGS004747,PSS011488,Serum creatinine,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020974,PGS004749,PSS011488,Serum creatinine,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020976,PGS004751,PSS011490,Current smoker,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020978,PGS004753,PSS011490,Current smoker,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020980,PGS004755,PSS011465,Diastolic blood pressure,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020982,PGS004757,PSS011465,Diastolic blood pressure,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020984,PGS004759,PSS011465,Depression,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020985,PGS004760,PSS011465,Depression,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020986,PGS004761,PSS011492,Eosinophil count,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020988,PGS004763,PSS011492,Eosinophil count,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020990,PGS004765,PSS011465,Glaucoma,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020991,PGS004766,PSS011465,Glaucoma,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020992,PGS004767,PSS011465,Gout,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020993,PGS004768,PSS011465,Gout,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020994,PGS004769,PSS011466,Hemoglobin,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020995,PGS004770,PSS011466,Hemoglobin,European,NA,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020996,PGS004771,PSS011493,Hematocrit,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM020998,PGS004773,PSS011493,Hematocrit,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
