trait_label,trained_bucket,target_ancestry,pgs_id,eur_k,tgt_k,n_eur_eval,n_tgt_eval,n_overlap_performance_id,n_overlap_sampleset_id,target_is_multi_incl_eur,delta,delta_se
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000011,1,1,1,1,0,0,FALSE,0.013000000000000123,0.05764924043118259
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000011,1,1,1,1,0,0,FALSE,0.018999999999999906,0.08162453501010437
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000013,2,1,2,1,0,0,FALSE,1.5397663291083497e-4,0.05839878694476152
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000013,2,1,2,1,0,0,FALSE,0.00515397663291095,0.08258855487567078
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000018,2,1,2,1,0,0,FALSE,0.0016801537899443497,0.058798631225546655
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000018,2,1,2,1,0,0,FALSE,0.020680153789944367,0.0853071749955858
Breast cancer,Train: Multi incl. EUR,East Asian,PGS000028,1,1,1,1,0,0,FALSE,-0.009999999999999898,0.24928880548347546
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000200,1,1,1,1,0,0,FALSE,0.015000000000000124,0.05763287223787994
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000200,1,1,1,1,0,0,FALSE,0.02300000000000002,0.08188136342153939
Type 2 diabetes,Train: European-only,East Asian,PGS000330,1,1,1,1,0,0,FALSE,-0.0119999999999999,0.14177493324209067
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000330,1,1,1,1,0,0,FALSE,0.04200000000000015,0.023127837789073076
Type 2 diabetes,Train: European-only,South Asian,PGS000330,1,1,1,1,0,0,FALSE,-0.0019999999999998908,0.03876129254653253
Type 2 diabetes,Train: European-only,East Asian,PGS000713,1,1,1,1,0,0,FALSE,0.04200000000000004,0.15096478127289656
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000713,1,1,1,1,0,0,FALSE,0.050000000000000044,0.023297616091880663
Type 2 diabetes,Train: European-only,South Asian,PGS000713,1,1,1,1,0,0,FALSE,0.009000000000000008,0.04122297592455697
Type 2 diabetes,Train: European-only,East Asian,PGS000729,1,1,1,1,0,0,FALSE,0.006000000000000005,0.13420490788169148
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000729,1,1,1,1,0,0,FALSE,0.049000000000000044,0.023249713559793623
Type 2 diabetes,Train: European-only,South Asian,PGS000729,1,1,1,1,0,0,FALSE,0.0050000000000000044,0.03858362415019638
Type 2 diabetes,Train: European-only,East Asian,PGS000864,1,1,1,1,0,0,FALSE,0.0129999999999999,0.14027123382253112
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000864,1,1,1,1,0,0,FALSE,0.05799999999999994,0.022233268584330047
Type 2 diabetes,Train: European-only,South Asian,PGS000864,1,1,1,1,0,0,FALSE,0.005999999999999894,0.0390734821264997
Type 2 diabetes,Train: European-only,East Asian,PGS000868,1,1,1,1,0,0,FALSE,0.031000000000000028,0.14339430828365715
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000868,1,1,1,1,0,0,FALSE,0.062000000000000055,0.022904521727538655
Type 2 diabetes,Train: European-only,South Asian,PGS000868,1,1,1,1,0,0,FALSE,0.015000000000000013,0.03917228519130494
Type 2 diabetes,Train: European-only,East Asian,PGS001295,2,1,2,1,0,0,FALSE,0.15008413864048886,0.5242783178986704
Type 2 diabetes,Train: European-only,South Asian,PGS001295,2,1,2,1,0,0,FALSE,-0.02694586135951116,0.0996702728773639
Breast cancer,Train: European-only,East Asian,PGS001336,2,1,2,1,0,0,FALSE,-0.04832585954109281,0.12958333784355533
Breast cancer,Train: European-only,South Asian,PGS001336,2,1,2,1,0,0,FALSE,0.027114140458907254,0.08669183215465032
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,PGS001800,1,1,1,1,0,0,FALSE,-0.10399999999999998,0.10513911919765691
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,PGS001801,1,1,1,1,0,0,FALSE,-0.10399999999999998,0.10513911919765691
Type 2 diabetes,Train: European-only,East Asian,PGS001818,1,1,1,1,0,0,FALSE,0.02499999999999991,0.1443397720464908
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS001818,1,1,1,1,0,0,FALSE,0.05300000000000005,0.023257021647830403
Type 2 diabetes,Train: European-only,South Asian,PGS001818,1,1,1,1,0,0,FALSE,0.014000000000000012,0.040191548025467
Type 2 diabetes,Train: European-only,East Asian,PGS002026,1,1,1,1,0,0,FALSE,0.008000000000000007,0.14962845931972207
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002026,1,1,1,1,0,0,FALSE,0.050000000000000044,0.02342258888415316
Type 2 diabetes,Train: European-only,South Asian,PGS002026,1,1,1,1,0,0,FALSE,0.010000000000000009,0.04031268605141312
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,PGS002238,1,1,1,1,0,0,FALSE,-0.014000000000000012,0.05735081899581298
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,PGS002239,1,1,1,1,0,0,FALSE,-0.016000000000000014,0.05676228110237727
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,PGS002250,1,1,1,1,0,0,FALSE,-0.04999999999999993,0.05559950336468318
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS002308,1,1,1,1,0,0,FALSE,0.05800000000000016,0.07212821975203254
Type 2 diabetes,Train: European-only,East Asian,PGS002671,1,1,1,1,0,0,FALSE,0.03299999999999992,0.1507423949456257
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002671,1,1,1,1,0,0,FALSE,0.05699999999999994,0.022514980151562156
Type 2 diabetes,Train: European-only,South Asian,PGS002671,1,1,1,1,0,0,FALSE,0.016999999999999904,0.03963216839820982
Type 2 diabetes,Train: European-only,East Asian,PGS002771,1,1,1,1,0,0,FALSE,-0.006999999999999895,0.14382478371962573
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002771,1,1,1,1,0,0,FALSE,0.04000000000000015,0.02312084639573222
Type 2 diabetes,Train: European-only,South Asian,PGS002771,1,1,1,1,0,0,FALSE,0.007000000000000117,0.04088045688541551
Type 2 diabetes,Train: European-only,East Asian,PGS002780,1,1,1,1,0,0,FALSE,0.017999999999999905,0.14376363836713754
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002780,1,1,1,1,0,0,FALSE,0.061999999999999944,0.0227888750901847
Type 2 diabetes,Train: European-only,South Asian,PGS002780,1,1,1,1,0,0,FALSE,0.018999999999999906,0.04053604573722454
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,PGS003394,1,1,1,1,0,0,FALSE,-0.052999999999999936,0.05588282818459125
Type 2 diabetes,Train: Multi incl. EUR,East Asian,PGS003443,1,1,1,1,0,0,FALSE,0.006999999999999895,0.1431270203715045
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS003443,1,1,1,1,0,0,FALSE,0.04899999999999993,0.02325466814238382
Type 2 diabetes,Train: Multi incl. EUR,South Asian,PGS003443,1,1,1,1,0,0,FALSE,0.014999999999999902,0.041221624328520355
Colorectal cancer,Train: Multi incl. EUR,African,PGS003850,1,1,1,1,0,0,FALSE,-0.030000000000000027,0.03796705715855692
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,PGS003850,1,1,1,1,0,0,FALSE,-0.020000000000000018,0.03813786662131055
Colorectal cancer,Train: European-only,African,PGS003851,2,2,2,2,0,0,FALSE,-0.10704898666120044,0.11221996837829921
Colorectal cancer,Train: European-only,East Asian,PGS003851,2,1,2,1,0,0,FALSE,-0.04432621120828717,0.1368361243333403
Colorectal cancer,Train: European-only,Hispanic or Latin American,PGS003851,2,2,2,2,0,0,FALSE,-0.05071728498401462,0.10114083713559471
Colorectal cancer,Train: Multi incl. EUR,African,PGS003852,1,1,1,1,0,0,FALSE,-0.06000000000000005,0.047799521180729325
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,PGS003852,1,1,1,1,0,0,FALSE,-0.030000000000000027,0.039353318235240985
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS003867,1,1,1,1,0,0,FALSE,0.04600000000000026,0.024288083869863822
Type 2 diabetes,Train: Multi incl. EUR,Middle Eastern or North African,PGS003867,1,1,1,1,0,0,FALSE,0.008399999999999963,0.0518928472897646
Breast cancer,Train: European-only,South Asian,PGS003983,4,2,4,2,0,0,FALSE,-0.0361667022447455,0.060974211988221894
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS003984,4,2,4,2,0,0,FALSE,-0.00726951747036142,0.04728330014641986
Breast cancer,Train: European-only,South Asian,PGS003999,4,2,4,2,0,0,FALSE,-0.02679054853281937,0.06325893964304172
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004000,4,2,4,2,0,0,FALSE,-0.0189758967656648,0.04496707980190183
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004015,4,2,4,2,0,0,FALSE,0.0052240127908415035,0.04468485590515358
Breast cancer,Train: European-only,South Asian,PGS004025,4,2,4,2,0,0,FALSE,-0.035597617486722744,0.06282482840294022
Breast cancer,Train: European-only,South Asian,PGS004040,4,2,4,2,0,0,FALSE,-0.036171422360813166,0.06235121211913149
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004041,4,2,4,2,0,0,FALSE,0.0015454817105762242,0.04552940418918811
Breast cancer,Train: European-only,South Asian,PGS004053,4,2,4,2,0,0,FALSE,-0.03502902943428221,0.06219511188247632
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004054,4,2,4,2,0,0,FALSE,-0.004638765746073359,0.04543977356607076
Breast cancer,Train: European-only,South Asian,PGS004069,4,2,4,2,0,0,FALSE,-0.03345216404111806,0.06111998857992642
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004070,4,2,4,2,0,0,FALSE,-0.004183091397301331,0.04569560544627957
Breast cancer,Train: European-only,South Asian,PGS004083,4,2,4,2,0,0,FALSE,-0.02927481180098901,0.06204302762019986
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004098,4,2,4,2,0,0,FALSE,0.010191526566252551,0.04590993998821363
Type 2 diabetes,Train: European-only,South Asian,PGS004106,4,2,4,2,0,0,FALSE,-0.018664817868028982,0.014274208721195074
Breast cancer,Train: European-only,South Asian,PGS004107,4,2,4,2,0,0,FALSE,-0.02309685784606519,0.05951927743908844
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004108,4,2,4,2,0,0,FALSE,-0.011927004150997567,0.046979483234837575
Seropositive RA,Train: Multi incl. EUR,South Asian,PGS004118,4,1,4,1,0,0,FALSE,0.06389454678874207,0.14059743328529983
Breast cancer,Train: European-only,South Asian,PGS004123,4,2,4,2,0,0,FALSE,-0.023043464512588985,0.05973378932214176
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004124,4,2,4,2,0,0,FALSE,0.009713239104176763,0.04613638156474288
Seropositive RA,Train: Multi incl. EUR,South Asian,PGS004133,4,1,4,1,0,0,FALSE,0.03177793338439905,0.14619585314533678
Breast cancer,Train: European-only,South Asian,PGS004153,4,2,4,2,0,0,FALSE,-0.028031899065128374,0.0626970181090117
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004154,4,2,4,2,0,0,FALSE,-0.010925392299171444,0.04576577308144755
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,PGS004696,1,1,1,1,0,0,FALSE,-0.01200000000000001,0.031076302007245357
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,PGS004696,1,1,1,1,0,0,FALSE,-0.06800000000000006,0.08403812086496122
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,PGS004696,1,1,1,1,0,0,FALSE,0.029000000000000026,0.07803999388425993
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,PGS004697,1,1,1,1,0,0,FALSE,-0.017000000000000015,0.03091919514823877
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,PGS004697,1,1,1,1,0,0,FALSE,-0.06500000000000006,0.08423927665772751
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,PGS004697,1,1,1,1,0,0,FALSE,0.030000000000000027,0.07802770104820093
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,PGS004698,1,1,1,1,0,0,FALSE,-0.025000000000000022,0.030760117585669718
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,PGS004698,1,1,1,1,0,0,FALSE,-0.07400000000000007,0.08330197313315707
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,PGS004698,1,1,1,1,0,0,FALSE,0.0129999999999999,0.07552668813831984
Type 2 diabetes,Train: Multi incl. EUR,African,PGS004859,1,2,1,2,0,0,FALSE,-0.01903665632198348,0.03152724896087971
Type 2 diabetes,Train: Multi incl. EUR,East Asian,PGS004859,1,1,1,1,0,0,FALSE,0.06999999999999995,0.2243842313772541
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS004859,1,1,1,1,0,0,FALSE,0.06999999999999995,0.08152601294137192
Type 2 diabetes,Train: Multi incl. EUR,South Asian,PGS004859,1,1,1,1,0,0,FALSE,0.1100000000000001,0.38231987879907764
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS005242,1,1,1,1,0,0,FALSE,-0.008000000000000007,0.026741732546215355
Breast Carcinoma,Train: European-only,African,PGS005345,6,2,6,2,0,0,FALSE,-0.0199911315487884,0.15922888911767116
Breast Carcinoma,Train: European-only,South Asian,PGS005345,6,2,6,2,0,0,FALSE,0.004085574400860215,0.12077298609974534
Breast Carcinoma,Train: European-only,African,PGS005346,6,2,6,2,0,0,FALSE,-0.07442090066742368,0.16294382624165737
Breast Carcinoma,Train: European-only,South Asian,PGS005346,6,2,6,2,0,0,FALSE,-0.008950364883240525,0.134359735846508
Breast Carcinoma,Train: European-only,African,PGS005347,6,2,6,2,0,0,FALSE,-0.06563962049225391,0.1662290412296656
Breast Carcinoma,Train: European-only,South Asian,PGS005347,6,2,6,2,0,0,FALSE,0.005214462332007619,0.13719815751343253
Breast Carcinoma,Train: European-only,African,PGS005348,6,2,6,2,0,0,FALSE,-0.054779971180556664,0.15627252073620068
Breast Carcinoma,Train: European-only,South Asian,PGS005348,6,2,6,2,0,0,FALSE,-0.01602888154320037,0.1340994112815676
