trait_label,trained_bucket,target_ancestry,n_pairs,delta_hat,se_hat,lo,hi,all_not_pooled,ci_excludes_zero,pooling_status,what_is_pooled,se_scale_note,delta_hat_rebuild,se_hat_rebuild,abs_diff,abs_diff_se
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,2,-0.015007342309641611,0.00895530374374706,-0.03255973764738586,0.00254505302810263,TRUE,FALSE,All single-eval cells,2 PGS-level ΔAUC values (same PGS in EUR vs African),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.015007342309641613,0.008955303743747065,1.734723475976807e-18,5.204170427930421e-18
Breast Carcinoma,Train: European-only,African,4,-0.0527691520714337,0.01921842950242238,-0.09043727389618156,-0.01510103024668582,FALSE,TRUE,Includes pooled Stage-1 cells,4 PGS-level ΔAUC values (same PGS in EUR vs African),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.052769152071433685,0.019218429502422384,1.3877787807814457e-17,3.469446951953614e-18
Breast Carcinoma,Train: European-only,South Asian,4,-0.00350394906166526,0.01483299197307732,-0.03257661332889683,0.0255687152055663,FALSE,FALSE,Includes pooled Stage-1 cells,4 PGS-level ΔAUC values (same PGS in EUR vs South Asian),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.003503949061665266,0.014832991973077329,6.071532165918825e-18,8.673617379884035e-18
Breast cancer,Train: European-only,East Asian,1,-0.04832585954109281,0.02356378436844298,-0.09451087690324105,-0.00214084217894457,TRUE,TRUE,All single-eval cells,1 PGS-level ΔAUC values (same PGS in EUR vs East Asian),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.04832585954109281,0.02356378436844298,0,0
Breast cancer,Train: European-only,South Asian,11,-0.02314171643827549,0.00430529648340714,-0.0315800975457535,-0.01470333533079748,FALSE,TRUE,Includes pooled Stage-1 cells,11 PGS-level ΔAUC values (same PGS in EUR vs South Asian),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.023141716438275492,0.004305296483407145,3.469446951953614e-18,5.204170427930421e-18
Breast cancer,Train: Multi incl. EUR,East Asian,1,-0.00999999999999989,0.05865547446114814,-0.12496472994385024,0.10496472994385043,TRUE,FALSE,All single-eval cells,1 PGS-level ΔAUC values (same PGS in EUR vs East Asian),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.009999999999999898,0.05865547446114814,8.673617379884035e-18,0
Colorectal cancer,Train: European-only,African,1,-0.10704898666120044,0.02780273585452884,-0.16154234893607697,-0.05255562438632392,FALSE,TRUE,Includes pooled Stage-1 cells,1 PGS-level ΔAUC values (same PGS in EUR vs African),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.10704898666120044,0.02780273585452884,0,0
Colorectal cancer,Train: European-only,East Asian,1,-0.04432621120828717,0.03277248754045758,-0.10856028678758405,0.01990786437100969,TRUE,FALSE,All single-eval cells,1 PGS-level ΔAUC values (same PGS in EUR vs East Asian),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.04432621120828717,0.032772487540457584,0,6.938893903907228e-18
Colorectal cancer,Train: European-only,Hispanic or Latin American,1,-0.05071728498401462,0.02431869340562888,-0.09838192405904722,-0.00305264590898201,FALSE,TRUE,Includes pooled Stage-1 cells,1 PGS-level ΔAUC values (same PGS in EUR vs Hispanic or Latin American),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.05071728498401462,0.02431869340562888,0,0
Colorectal cancer,Train: Multi incl. EUR,African,2,-0.04178303950009832,0.00715372276779627,-0.05580433612497901,-0.02776174287521762,TRUE,TRUE,All single-eval cells,2 PGS-level ΔAUC values (same PGS in EUR vs African),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.04178303950009832,0.007153722767796276,0,6.071532165918825e-18
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,2,-0.02500451012139637,0.00648659332599776,-0.03771823304035199,-0.01229078720244074,TRUE,TRUE,All single-eval cells,2 PGS-level ΔAUC values (same PGS in EUR vs Hispanic or Latin American),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,-0.02500451012139637,0.006486593325997766,0,6.071532165918825e-18
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,4,0.00734823299570868,0.00518616303715207,-0.00281664655710938,0.01751311254852674,TRUE,FALSE,All single-eval cells,4 PGS-level ΔAUC values (same PGS in EUR vs African),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,0.007348232995708683,0.0051861630371520745,2.6020852139652106e-18,4.336808689942018e-18
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,4,0.01696787099233745,0.0071732863862342296,0.00290822967531835,0.03102751230935654,TRUE,TRUE,All single-eval cells,4 PGS-level ΔAUC values (same PGS in EUR vs Hispanic or Latin American),Published Figure 1C uses the delta-method SE; see 08_scale_fix_cells for the submitted logit-scale recalculation,0.01696787099233745,0.007173286386234232,0,2.6020852139652106e-18
