trait_label,trained_bucket,target_ancestry,n_pairs,all_not_pooled,k_eval_eur_min,k_eval_tgt_min,delta_hat,se_hat,tau2,Q_stage2,I2_stage2,lo,hi,ci_excludes_zero,model,se_scale
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,1,TRUE,1,1,-0.01400000000000001,0.057350818995812985,0,NA,NA,-0.12640760523179345,0.09840760523179344,FALSE,fixed,logit_as_implemented
Breast Carcinoma,Train: European-only,African,4,FALSE,6,2,-0.053228059744311135,0.0805186493472829,0,0.06616078480554866,0,-0.2110446124649856,0.10458849297636333,FALSE,fixed,logit_as_implemented
Breast Carcinoma,Train: European-only,South Asian,4,FALSE,6,2,-0.003567138072342114,0.06555623567415719,0,0.018353000900298275,0,-0.1320573599936902,0.12492308384900598,FALSE,fixed,logit_as_implemented
Breast cancer,Train: European-only,East Asian,1,TRUE,2,1,-0.0483258595410928,0.12958333784355533,0,NA,NA,-0.30230920171446124,0.20565748263227562,FALSE,fixed,logit_as_implemented
Breast cancer,Train: European-only,South Asian,11,FALSE,2,1,-0.02779405917792702,0.019015957907620656,0,0.4889867638419058,0,-0.06506533667686351,0.009477218321009468,FALSE,fixed,logit_as_implemented
Breast cancer,Train: Multi incl. EUR,East Asian,1,TRUE,1,1,-0.009999999999999898,0.24928880548347546,0,NA,NA,-0.49860605874761177,0.478606058747612,FALSE,fixed,logit_as_implemented
Colorectal cancer,Train: European-only,African,2,FALSE,1,1,-0.08696330152562581,0.09115737112574676,0,0.09418002805863615,0,-0.26563174893208946,0.09170514588083784,FALSE,fixed,logit_as_implemented
Colorectal cancer,Train: European-only,East Asian,2,TRUE,1,1,-0.04019806098251617,0.08065824904277911,0,0.0013947541119150963,0,-0.19828822910636323,0.1178921071413309,FALSE,fixed,logit_as_implemented
Colorectal cancer,Train: European-only,Hispanic or Latin American,2,FALSE,1,1,-0.04569941141218875,0.08054477973707955,0,0.0067287561285772415,0,-0.20356717969686466,0.11216835687248716,FALSE,fixed,logit_as_implemented
Colorectal cancer,Train: Multi incl. EUR,African,2,TRUE,1,1,-0.04160535108074762,0.029729804982896235,0,0.24152698808214654,0,-0.09987576884722424,0.016665066685729,FALSE,fixed,logit_as_implemented
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,2,TRUE,1,1,-0.024843188271789482,0.027387162175100416,0,0.03329803157551467,0,-0.0785220261349863,0.02883564959140733,FALSE,fixed,logit_as_implemented
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,2,TRUE,1,1,-0.104,0.07434458415264392,0,3.484510780567102e-32,0,-0.24971538493918205,0.041715384939182074,FALSE,fixed,logit_as_implemented
Seropositive RA,Train: Multi incl. EUR,South Asian,2,TRUE,4,1,0.04846294163617168,0.10133879438660916,0,0.025071831582281726,0,-0.15016109536158226,0.24708697863392562,FALSE,fixed,logit_as_implemented
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,10,FALSE,4,2,-0.00309586633807853,0.014489621587772908,0,0.40473373756129083,0,-0.03149552465011343,0.02530379197395637,FALSE,fixed,logit_as_implemented
Type 2 diabetes,Train: European-only,East Asian,11,TRUE,1,1,0.016134076481443348,0.0453775225213786,0,0.1962494382654349,0,-0.07280586766045871,0.1050740206233454,FALSE,fixed,logit_as_implemented
Type 2 diabetes,Train: European-only,Hispanic or Latin American,10,TRUE,1,1,0.05243018186949076,0.007267885184602581,0,0.9912957705918677,0,0.0381851269076697,0.06667523683131182,TRUE,fixed,logit_as_implemented
Type 2 diabetes,Train: European-only,South Asian,12,FALSE,1,1,-0.002817698597508679,0.009399297563374187,0,2.546226661706906,0,-0.021240321821722086,0.015604924626704729,FALSE,fixed,logit_as_implemented
Type 2 diabetes,Train: Multi incl. EUR,African,1,TRUE,1,2,-0.01903665632198348,0.03152724896087972,0,NA,NA,-0.08083006428530773,0.04275675164134076,FALSE,fixed,logit_as_implemented
Type 2 diabetes,Train: Multi incl. EUR,East Asian,2,TRUE,1,1,0.025219830320565167,0.12066858578383244,0,0.05603270867275179,0,-0.2112905978157464,0.26173025845687675,FALSE,fixed,logit_as_implemented
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,4,TRUE,1,1,0.03297211375969952,0.01401218023884289,0,3.31649750698869,9.5431251288973,0.005508240491567458,0.06043598702783159,TRUE,fixed,logit_as_implemented
Type 2 diabetes,Train: Multi incl. EUR,Middle Eastern or North African,1,TRUE,1,1,0.008399999999999963,0.0518928472897646,0,NA,NA,-0.09330998068793865,0.11010998068793858,FALSE,fixed,logit_as_implemented
Type 2 diabetes,Train: Multi incl. EUR,South Asian,2,TRUE,1,1,0.0160916928208513,0.04098409073459057,0,0.061034284467241594,0,-0.06423712501894621,0.09642051066064883,FALSE,fixed,logit_as_implemented
