trait_label,trained_bucket,target_ancestry,n_pairs_all,delta_all,se_all,lo_all,hi_all,sig_all,n_pairs_reported,delta_reported,se_reported,lo_reported,hi_reported,sig_reported,se_scale,delta_diff,sign_flip,inference_flip
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,2,-0.015010314718264159,0.04034346372139599,-0.09408350361220029,0.06406287417567198,FALSE,1,-0.01400000000000001,0.057350818995812985,-0.12640760523179345,0.09840760523179344,FALSE,logit_as_implemented,0.0010103147182641478,FALSE,FALSE
Breast Carcinoma,Train: European-only,African,4,-0.053228059744311135,0.0805186493472829,-0.2110446124649856,0.10458849297636333,FALSE,4,-0.053228059744311135,0.0805186493472829,-0.2110446124649856,0.10458849297636333,FALSE,logit_as_implemented,0,FALSE,FALSE
Breast Carcinoma,Train: European-only,South Asian,4,-0.003567138072342114,0.06555623567415719,-0.1320573599936902,0.12492308384900598,FALSE,4,-0.003567138072342114,0.06555623567415719,-0.1320573599936902,0.12492308384900598,FALSE,logit_as_implemented,0,FALSE,FALSE
Breast cancer,Train: European-only,East Asian,1,-0.0483258595410928,0.12958333784355533,-0.30230920171446124,0.20565748263227562,FALSE,1,-0.0483258595410928,0.12958333784355533,-0.30230920171446124,0.20565748263227562,FALSE,logit_as_implemented,0,FALSE,FALSE
Breast cancer,Train: European-only,South Asian,11,-0.02779405917792702,0.019015957907620656,-0.06506533667686351,0.009477218321009468,FALSE,11,-0.02779405917792702,0.019015957907620656,-0.06506533667686351,0.009477218321009468,FALSE,logit_as_implemented,0,FALSE,FALSE
Breast cancer,Train: Multi incl. EUR,East Asian,1,-0.009999999999999898,0.24928880548347546,-0.49860605874761177,0.478606058747612,FALSE,1,-0.009999999999999898,0.24928880548347546,-0.49860605874761177,0.478606058747612,FALSE,logit_as_implemented,0,FALSE,FALSE
Colorectal cancer,Train: European-only,African,1,-0.10704898666120044,0.11221996837829921,-0.3270001246826669,0.11290215136026602,FALSE,2,-0.08696330152562581,0.09115737112574676,-0.26563174893208946,0.09170514588083784,FALSE,logit_as_implemented,0.020085685135574627,FALSE,FALSE
Colorectal cancer,Train: European-only,East Asian,1,-0.04432621120828717,0.1368361243333403,-0.31252501490163415,0.2238725924850598,FALSE,2,-0.04019806098251617,0.08065824904277911,-0.19828822910636323,0.1178921071413309,FALSE,logit_as_implemented,0.004128150225770996,FALSE,FALSE
Colorectal cancer,Train: European-only,Hispanic or Latin American,1,-0.05071728498401462,0.10114083713559471,-0.24895332576978024,0.147518755801751,FALSE,2,-0.04569941141218875,0.08054477973707955,-0.20356717969686466,0.11216835687248716,FALSE,logit_as_implemented,0.0050178735718258705,FALSE,FALSE
Colorectal cancer,Train: Multi incl. EUR,African,2,-0.04160535108074762,0.029729804982896235,-0.09987576884722424,0.016665066685729,FALSE,2,-0.04160535108074762,0.029729804982896235,-0.09987576884722424,0.016665066685729,FALSE,logit_as_implemented,0,FALSE,FALSE
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,2,-0.024843188271789482,0.027387162175100416,-0.0785220261349863,0.02883564959140733,FALSE,2,-0.024843188271789482,0.027387162175100416,-0.0785220261349863,0.02883564959140733,FALSE,logit_as_implemented,0,FALSE,FALSE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,4,0.00756378011122654,0.029056732896376558,-0.04938741636567151,0.06451497658812459,FALSE,NA,NA,NA,NA,NA,NA,logit_as_implemented,NA,FALSE,FALSE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,4,0.016938395864147773,0.04140629380852673,-0.0642179400005646,0.09809473172886016,FALSE,NA,NA,NA,NA,NA,NA,logit_as_implemented,NA,FALSE,FALSE
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,2,-0.05149237575176198,0.03941457444727061,-0.12874494166841238,0.02576019016488841,FALSE,NA,NA,NA,NA,NA,NA,logit_as_implemented,NA,FALSE,FALSE
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,2,-0.104,0.07434458415264392,-0.24971538493918205,0.041715384939182074,FALSE,2,-0.104,0.07434458415264392,-0.24971538493918205,0.041715384939182074,FALSE,logit_as_implemented,0,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,3,-0.01804436307383828,0.017850359648146904,-0.05303106798420622,0.016942341836529654,FALSE,NA,NA,NA,NA,NA,NA,logit_as_implemented,NA,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,3,-0.06903579242057419,0.0484147899197962,-0.16392878066337474,0.025857195822226356,FALSE,NA,NA,NA,NA,NA,NA,logit_as_implemented,NA,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,3,0.02375802112902565,0.04455446224353377,-0.06356872486830054,0.11108476712635185,FALSE,NA,NA,NA,NA,NA,NA,logit_as_implemented,NA,FALSE,FALSE
Seropositive RA,Train: Multi incl. EUR,South Asian,2,0.04846294163617168,0.10133879438660916,-0.15016109536158226,0.24708697863392562,FALSE,2,0.04846294163617168,0.10133879438660916,-0.15016109536158226,0.24708697863392562,FALSE,logit_as_implemented,0,FALSE,FALSE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,10,-0.00309586633807853,0.014489621587772908,-0.03149552465011343,0.02530379197395637,FALSE,10,-0.00309586633807853,0.014489621587772908,-0.03149552465011343,0.02530379197395637,FALSE,logit_as_implemented,0,FALSE,FALSE
Type 2 diabetes,Train: European-only,East Asian,11,0.016134076481443348,0.0453775225213786,-0.07280586766045871,0.1050740206233454,FALSE,11,0.016134076481443348,0.0453775225213786,-0.07280586766045871,0.1050740206233454,FALSE,logit_as_implemented,0,FALSE,FALSE
Type 2 diabetes,Train: European-only,Hispanic or Latin American,10,0.05243018186949077,0.00726788518460258,0.03818512690766972,0.06667523683131182,TRUE,10,0.05243018186949076,0.007267885184602581,0.0381851269076697,0.06667523683131182,TRUE,logit_as_implemented,-6.938893903907228e-18,FALSE,FALSE
Type 2 diabetes,Train: European-only,South Asian,12,-0.0028176985975086836,0.009399297563374185,-0.021240321821722086,0.01560492462670472,FALSE,12,-0.002817698597508679,0.009399297563374187,-0.021240321821722086,0.015604924626704729,FALSE,logit_as_implemented,4.7704895589362195e-18,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,African,1,-0.01903665632198348,0.03152724896087971,-0.0808300642853077,0.04275675164134075,FALSE,1,-0.01903665632198348,0.03152724896087972,-0.08083006428530773,0.04275675164134076,FALSE,logit_as_implemented,0,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,East Asian,2,0.025219830320565167,0.12066858578383244,-0.2112905978157464,0.26173025845687675,FALSE,2,0.025219830320565167,0.12066858578383244,-0.2112905978157464,0.26173025845687675,FALSE,logit_as_implemented,0,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,5,0.03388231338279506,0.01375502717402476,0.006922460121706529,0.06084216664388359,TRUE,4,0.03297211375969952,0.01401218023884289,0.005508240491567458,0.06043598702783159,TRUE,logit_as_implemented,-9.101996230955339e-4,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,Middle Eastern or North African,1,0.008399999999999963,0.0518928472897646,-0.09330998068793865,0.11010998068793858,FALSE,1,0.008399999999999963,0.0518928472897646,-0.09330998068793865,0.11010998068793858,FALSE,logit_as_implemented,0,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,South Asian,2,0.0160916928208513,0.04098409073459056,-0.06423712501894621,0.0964205106606488,FALSE,2,0.0160916928208513,0.04098409073459057,-0.06423712501894621,0.09642051066064883,FALSE,logit_as_implemented,0,FALSE,FALSE
