trait_label,trained_bucket,target_ancestry,n_pairs,all_not_pooled,k_eval_eur_min,k_eval_tgt_min,delta_hat,se_hat,tau2,Q_stage2,I2_stage2,lo,hi,ci_excludes_zero,model,se_scale
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,1,TRUE,1,1,-0.014000000000000012,0.012711463735465086,0,NA,NA,-0.03891446892151158,0.010914468921511555,FALSE,fixed,delta_method
Breast Carcinoma,Train: European-only,African,4,FALSE,6,2,-0.05276915207143369,0.019218429502422387,0,1.1774041240869169,0,-0.09043727389618157,-0.015101030246685812,TRUE,fixed,delta_method
Breast Carcinoma,Train: European-only,South Asian,4,FALSE,6,2,-0.003503949061665266,0.014832991973077329,0,0.3572493522375718,0,-0.03257661332889683,0.0255687152055663,FALSE,fixed,delta_method
Breast cancer,Train: European-only,East Asian,1,TRUE,2,1,-0.04832585954109281,0.02356378436844298,0,NA,NA,-0.09451087690324105,-0.0021408421789445714,TRUE,fixed,delta_method
Breast cancer,Train: European-only,South Asian,11,FALSE,2,1,-0.023141716438275492,0.004305296483407145,0,21.43447643480043,53.34618958191919,-0.0315800975457535,-0.014703335330797488,TRUE,fixed,delta_method
Breast cancer,Train: Multi incl. EUR,East Asian,1,TRUE,1,1,-0.009999999999999898,0.05865547446114814,0,NA,NA,-0.12496472994385024,0.10496472994385045,FALSE,fixed,delta_method
Colorectal cancer,Train: European-only,African,2,FALSE,1,1,-0.08644056661157302,0.02243242370427217,0,1.5742803678901325,36.478913134119125,-0.13040811707194647,-0.042473016151199576,TRUE,fixed,delta_method
Colorectal cancer,Train: European-only,East Asian,2,TRUE,1,1,-0.04021248983162686,0.019381090303354227,0,0.024230353307121776,0,-0.07819942682620115,-0.0022255528370525787,TRUE,fixed,delta_method
Colorectal cancer,Train: European-only,Hispanic or Latin American,2,FALSE,1,1,-0.04571358326454786,0.01938226600155035,0,0.1160590734695901,0,-0.08370282462758655,-0.0077243419015091755,TRUE,fixed,delta_method
Colorectal cancer,Train: Multi incl. EUR,African,2,TRUE,1,1,-0.04178303950009832,0.007153722767796276,0,4.19439221696368,76.15864353467879,-0.055804336124979016,-0.02776174287521762,TRUE,fixed,delta_method
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,2,TRUE,1,1,-0.02500451012139637,0.006486593325997766,0,0.5941639711019999,0,-0.03771823304035199,-0.012290787202440749,TRUE,fixed,delta_method
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,2,TRUE,1,1,-0.10399999999999998,0.01643296029943744,0,0,NA,-0.13620860218689737,-0.07179139781310259,TRUE,fixed,delta_method
Seropositive RA,Train: Multi incl. EUR,South Asian,2,TRUE,4,1,0.048994498203977804,0.023309666841268156,0,0.47213049653233596,0,0.003307551195092219,0.0946814452128634,TRUE,fixed,delta_method
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,10,FALSE,4,2,-0.0030549829004900705,0.0036040166141947045,0,6.5329190695261135,0,-0.010118855464311691,0.004008889663331551,FALSE,fixed,delta_method
Type 2 diabetes,Train: European-only,East Asian,11,TRUE,1,1,0.017863765346773107,0.009010617866707373,0,6.760343715650157,0,2.0295432802665617e-4,0.03552457636551956,TRUE,fixed,delta_method
Type 2 diabetes,Train: European-only,Hispanic or Latin American,10,TRUE,1,1,0.052144154834900286,0.0013720028301026969,0,28.31353557262426,68.21308318448968,0.049455029287899,0.05483328038190157,TRUE,fixed,delta_method
Type 2 diabetes,Train: European-only,South Asian,12,FALSE,1,1,-1.4476444030599826e-4,0.0020561304114883223,0,50.10568143892256,78.04640175703689,-0.00417478004682311,0.003885251166211113,FALSE,fixed,delta_method
Type 2 diabetes,Train: Multi incl. EUR,African,1,TRUE,1,2,-0.01903665632198348,0.0056360006491828,0,NA,NA,-0.03008321759438177,-0.007990095049585193,TRUE,fixed,delta_method
Type 2 diabetes,Train: Multi incl. EUR,East Asian,2,TRUE,1,1,0.03561600100220171,0.020447880563782807,0,2.3532535813592386,57.505642064192664,-0.004461844902812588,0.075693846907216,FALSE,fixed,delta_method
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,4,TRUE,1,1,0.034065763608340266,0.002513443645109011,0,103.52972815873105,97.10228158292811,0.029139414063926602,0.03899211315275393,TRUE,fixed,delta_method
Type 2 diabetes,Train: Multi incl. EUR,Middle Eastern or North African,1,TRUE,1,1,0.008399999999999963,0.010036729237164534,0,NA,NA,-0.011271989304842522,0.02807198930484245,FALSE,fixed,delta_method
Type 2 diabetes,Train: Multi incl. EUR,South Asian,2,TRUE,1,1,0.018418746160490235,0.007698180562385985,0,5.283202467359403,81.0720863684823,0.003330312258213706,0.03350718006276676,TRUE,fixed,delta_method
