trait_label,trained_bucket,target_ancestry,n_pairs_all,delta_all,se_all,lo_all,hi_all,sig_all,n_pairs_reported,delta_reported,se_reported,lo_reported,hi_reported,sig_reported,se_scale,delta_diff,sign_flip,inference_flip
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,2,-0.015007342309641613,0.008955303743747065,-0.03255973764738586,0.002545053028102635,FALSE,1,-0.014000000000000012,0.012711463735465086,-0.03891446892151158,0.010914468921511555,FALSE,delta_method,0.0010073423096416002,FALSE,FALSE
Breast Carcinoma,Train: European-only,African,4,-0.052769152071433685,0.019218429502422384,-0.09043727389618156,-0.015101030246685812,TRUE,4,-0.05276915207143369,0.019218429502422387,-0.09043727389618157,-0.015101030246685812,TRUE,delta_method,-6.938893903907228e-18,FALSE,FALSE
Breast Carcinoma,Train: European-only,South Asian,4,-0.003503949061665266,0.014832991973077329,-0.03257661332889683,0.0255687152055663,FALSE,4,-0.003503949061665266,0.014832991973077329,-0.03257661332889683,0.0255687152055663,FALSE,delta_method,0,FALSE,FALSE
Breast cancer,Train: European-only,East Asian,1,-0.04832585954109281,0.02356378436844298,-0.09451087690324105,-0.0021408421789445714,TRUE,1,-0.04832585954109281,0.02356378436844298,-0.09451087690324105,-0.0021408421789445714,TRUE,delta_method,0,FALSE,FALSE
Breast cancer,Train: European-only,South Asian,11,-0.023141716438275492,0.004305296483407145,-0.0315800975457535,-0.014703335330797488,TRUE,11,-0.023141716438275492,0.004305296483407145,-0.0315800975457535,-0.014703335330797488,TRUE,delta_method,0,FALSE,FALSE
Breast cancer,Train: Multi incl. EUR,East Asian,1,-0.009999999999999898,0.05865547446114814,-0.12496472994385024,0.10496472994385045,FALSE,1,-0.009999999999999898,0.05865547446114814,-0.12496472994385024,0.10496472994385045,FALSE,delta_method,0,FALSE,FALSE
Colorectal cancer,Train: European-only,African,1,-0.10704898666120044,0.02780273585452884,-0.16154234893607697,-0.05255562438632392,TRUE,2,-0.08644056661157302,0.02243242370427217,-0.13040811707194647,-0.042473016151199576,TRUE,delta_method,0.020608420049627416,FALSE,FALSE
Colorectal cancer,Train: European-only,East Asian,1,-0.04432621120828717,0.032772487540457584,-0.10856028678758403,0.019907864371009693,FALSE,2,-0.04021248983162686,0.019381090303354227,-0.07819942682620115,-0.0022255528370525787,TRUE,delta_method,0.004113721376660308,FALSE,TRUE
Colorectal cancer,Train: European-only,Hispanic or Latin American,1,-0.05071728498401462,0.02431869340562888,-0.09838192405904722,-0.0030526459089820143,TRUE,2,-0.04571358326454786,0.01938226600155035,-0.08370282462758655,-0.0077243419015091755,TRUE,delta_method,0.005003701719466763,FALSE,FALSE
Colorectal cancer,Train: Multi incl. EUR,African,2,-0.04178303950009832,0.007153722767796276,-0.055804336124979016,-0.02776174287521762,TRUE,2,-0.04178303950009832,0.007153722767796276,-0.055804336124979016,-0.02776174287521762,TRUE,delta_method,0,FALSE,FALSE
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,2,-0.02500451012139637,0.006486593325997766,-0.03771823304035199,-0.012290787202440749,TRUE,2,-0.02500451012139637,0.006486593325997766,-0.03771823304035199,-0.012290787202440749,TRUE,delta_method,0,FALSE,FALSE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,4,0.007348232995708683,0.0051861630371520745,-0.002816646557109383,0.01751311254852675,FALSE,NA,NA,NA,NA,NA,NA,delta_method,NA,FALSE,FALSE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,4,0.01696787099233745,0.007173286386234232,0.002908229675318357,0.031027512309356547,TRUE,NA,NA,NA,NA,NA,NA,delta_method,NA,FALSE,FALSE
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,2,-0.051498874168417884,0.00958922905793968,-0.07029376312197966,-0.03270398521485611,TRUE,NA,NA,NA,NA,NA,NA,delta_method,NA,FALSE,FALSE
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,2,-0.10399999999999998,0.01643296029943744,-0.13620860218689737,-0.07179139781310259,TRUE,2,-0.10399999999999998,0.01643296029943744,-0.13620860218689737,-0.07179139781310259,TRUE,delta_method,0,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,3,-0.01795905630370568,0.0032066030558399183,-0.02424399829315192,-0.01167411431425944,TRUE,NA,NA,NA,NA,NA,NA,delta_method,NA,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,3,-0.06898350648427742,0.009971690837213769,-0.08852802052521641,-0.049438992443338436,TRUE,NA,NA,NA,NA,NA,NA,delta_method,NA,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,3,0.024168064902884687,0.0072507432332198155,0.009956608165773848,0.03837952163999553,TRUE,NA,NA,NA,NA,NA,NA,delta_method,NA,FALSE,FALSE
Seropositive RA,Train: Multi incl. EUR,South Asian,2,0.048994498203977804,0.023309666841268156,0.003307551195092219,0.0946814452128634,TRUE,2,0.048994498203977804,0.023309666841268156,0.003307551195092219,0.0946814452128634,TRUE,delta_method,0,FALSE,FALSE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,10,-0.0030549829004900705,0.0036040166141947045,-0.010118855464311691,0.004008889663331551,FALSE,10,-0.0030549829004900705,0.0036040166141947045,-0.010118855464311691,0.004008889663331551,FALSE,delta_method,0,FALSE,FALSE
Type 2 diabetes,Train: European-only,East Asian,11,0.017863765346773107,0.009010617866707373,2.0295432802665617e-4,0.03552457636551956,TRUE,11,0.017863765346773107,0.009010617866707373,2.0295432802665617e-4,0.03552457636551956,TRUE,delta_method,0,FALSE,FALSE
Type 2 diabetes,Train: European-only,Hispanic or Latin American,10,0.05214415483490029,0.0013720028301026969,0.04945502928789901,0.05483328038190158,TRUE,10,0.052144154834900286,0.0013720028301026969,0.049455029287899,0.05483328038190157,TRUE,delta_method,-6.938893903907228e-18,FALSE,FALSE
Type 2 diabetes,Train: European-only,South Asian,12,-1.4476444030600476e-4,0.002056130411488322,-0.004174780046823115,0.003885251166211106,FALSE,12,-1.4476444030599826e-4,0.0020561304114883223,-0.00417478004682311,0.003885251166211113,FALSE,delta_method,6.5052130349130266e-18,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,African,1,-0.01903665632198348,0.005636000649182799,-0.03008321759438177,-0.007990095049585194,TRUE,1,-0.01903665632198348,0.0056360006491828,-0.03008321759438177,-0.007990095049585193,TRUE,delta_method,0,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,East Asian,2,0.03561600100220171,0.020447880563782807,-0.004461844902812588,0.075693846907216,FALSE,2,0.03561600100220171,0.020447880563782807,-0.004461844902812588,0.075693846907216,FALSE,delta_method,0,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,5,0.0356794827284969,0.0024272331319692628,0.030922105789837145,0.040436859667156655,TRUE,4,0.034065763608340266,0.002513443645109011,0.029139414063926602,0.03899211315275393,TRUE,delta_method,-0.0016137191201566342,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,Middle Eastern or North African,1,0.008399999999999963,0.010036729237164534,-0.011271989304842522,0.02807198930484245,FALSE,1,0.008399999999999963,0.010036729237164534,-0.011271989304842522,0.02807198930484245,FALSE,delta_method,0,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,South Asian,2,0.018418746160490235,0.007698180562385983,0.0033303122582137093,0.03350718006276676,TRUE,2,0.018418746160490235,0.007698180562385985,0.003330312258213706,0.03350718006276676,TRUE,delta_method,0,FALSE,FALSE
