quantity,recovered,expected,abs_diff,matches_expected
African pooled logit(AUC),0.291508,0.291508,0,TRUE
European pooled logit(AUC),0.405465,0.405465,0,TRUE
African logit-scale SE,0.01630624,0.01630624,0,TRUE
European logit-scale SE,0.02126195,0.02126195,0,TRUE
African AUC,0.5723652761513416,NA,NA,NA
European AUC,0.5999999740540403,NA,NA,NA
delta AUC,-0.02763469790269868,-0.027635,3.0209730132041424e-7,TRUE
SE(delta) as implemented (logit SEs),0.02679484989209867,NA,NA,NA
95% CI lo as implemented,-0.08015260369121208,-0.080153,3.963087879255145e-7,TRUE
95% CI hi as implemented,0.02488320788581471,0.024883,2.0788581471184453e-7,TRUE
SE(delta) delta method,0.006478324592018667,NA,NA,NA
95% CI lo delta method,-0.040332214103055264,-0.040332,2.1410305526409212e-7,TRUE
95% CI hi delta method,-0.014937181702342091,-0.014937,1.8170234209087532e-7,TRUE
