trait_label,trained_bucket,target_ancestry,n_pairs,all_not_pooled,delta_impl,se_impl,lo_impl,hi_impl,sig_impl,delta_dm,se_dm,lo_dm,hi_dm,sig_dm,delta_ci,se_ci,lo_ci,hi_ci,sig_ci,se_inflation_factor,abs_delta_shift,inference_change,dm_vs_ci_agree
Colorectal cancer,Train: European-only,African,1,FALSE,-0.10704898666120044,0.11221996837829921,-0.3270001246826669,0.11290215136026602,FALSE,-0.10704898666120044,0.02780273585452884,-0.16154234893607697,-0.05255562438632392,TRUE,-0.10704898666120044,0.027701248494898724,-0.16134343371120194,-0.05275453961119894,TRUE,4.036292290279034,0,gains significance (deficit),TRUE
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,2,TRUE,-0.104,0.07434458415264392,-0.24971538493918205,0.041715384939182074,FALSE,-0.10399999999999998,0.01643296029943744,-0.13620860218689737,-0.07179139781310259,TRUE,-0.10399999999999998,0.01640692751466575,-0.13615757792874483,-0.07184242207125512,TRUE,4.524113902666034,1.3877787807814457e-17,gains significance (deficit),TRUE
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,3,TRUE,-0.06903579242057419,0.0484147899197962,-0.16392878066337474,0.025857195822226356,FALSE,-0.06898350648427742,0.009971690837213769,-0.08852802052521641,-0.049438992443338436,TRUE,-0.06898370573758147,0.00996187692537487,-0.08850898451131622,-0.049458426963846724,TRUE,4.855223723855841,5.228593629676148e-5,gains significance (deficit),TRUE
Breast Carcinoma,Train: European-only,African,4,FALSE,-0.053228059744311135,0.0805186493472829,-0.2110446124649856,0.10458849297636333,FALSE,-0.052769152071433685,0.019218429502422384,-0.09043727389618156,-0.015101030246685812,TRUE,-0.052786809275560245,0.019083474831643236,-0.090190419945581,-0.015383198605539501,TRUE,4.1896581267024935,4.5890767287744966e-4,gains significance (deficit),TRUE
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,2,TRUE,-0.05149237575176198,0.03941457444727061,-0.12874494166841238,0.02576019016488841,FALSE,-0.051498874168417884,0.00958922905793968,-0.07029376312197966,-0.03270398521485611,TRUE,-0.051498870996410616,0.009583821158614867,-0.07028316046729575,-0.03271458152552548,TRUE,4.110296480470051,6.498416655904837e-6,gains significance (deficit),TRUE
Colorectal cancer,Train: European-only,Hispanic or Latin American,1,FALSE,-0.05071728498401462,0.10114083713559471,-0.24895332576978024,0.147518755801751,FALSE,-0.05071728498401462,0.02431869340562888,-0.09838192405904722,-0.0030526459089820143,TRUE,-0.05071728498401462,0.024254409476060793,-0.09825592755709378,-0.0031786424109354686,TRUE,4.158974968292678,0,gains significance (deficit),TRUE
Breast cancer,Train: European-only,East Asian,1,TRUE,-0.0483258595410928,0.12958333784355533,-0.30230920171446124,0.20565748263227562,FALSE,-0.04832585954109281,0.02356378436844298,-0.09451087690324105,-0.0021408421789445714,TRUE,-0.04832585954109281,0.023540385551890336,-0.09446501522279786,-0.0021867038593877536,TRUE,5.499258345662658,6.938893903907228e-18,gains significance (deficit),TRUE
Colorectal cancer,Train: European-only,East Asian,1,TRUE,-0.04432621120828717,0.1368361243333403,-0.31252501490163415,0.2238725924850598,FALSE,-0.04432621120828717,0.032772487540457584,-0.10856028678758403,0.019907864371009693,FALSE,-0.04432621120828717,0.032609972473352664,-0.10824175725605839,0.01958933483948405,FALSE,4.175335307227329,0,unchanged,TRUE
Colorectal cancer,Train: Multi incl. EUR,African,2,TRUE,-0.04160535108074762,0.029729804982896235,-0.09987576884722424,0.016665066685729,FALSE,-0.04178303950009832,0.007153722767796276,-0.055804336124979016,-0.02776174287521762,TRUE,-0.041785845280648805,0.007151460375641735,-0.0558027076169066,-0.027768982944391004,TRUE,4.155850869246724,1.776884193506953e-4,gains significance (deficit),TRUE
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,2,TRUE,-0.024843188271789482,0.027387162175100416,-0.0785220261349863,0.02883564959140733,FALSE,-0.02500451012139637,0.006486593325997766,-0.03771823304035199,-0.012290787202440749,TRUE,-0.02500446047642923,0.006485085635666308,-0.03771522832233519,-0.012293692630523266,TRUE,4.22211795910417,1.613218496068873e-4,gains significance (deficit),TRUE
Breast cancer,Train: European-only,South Asian,11,FALSE,-0.02779405917792702,0.019015957907620656,-0.06506533667686351,0.009477218321009468,FALSE,-0.023141716438275492,0.004305296483407145,-0.0315800975457535,-0.014703335330797488,TRUE,-0.023164602696584432,0.004302012255213641,-0.03159654671680317,-0.014732658676365695,TRUE,4.416875348982173,0.004652342739651528,gains significance (deficit),TRUE
Type 2 diabetes,Train: Multi incl. EUR,African,1,TRUE,-0.01903665632198348,0.03152724896087971,-0.0808300642853077,0.04275675164134075,FALSE,-0.01903665632198348,0.005636000649182799,-0.03008321759438177,-0.007990095049585194,TRUE,-0.01903665632198348,0.005635833565812197,-0.030082890110975386,-0.007990422532991575,TRUE,5.593904423245774,0,gains significance (deficit),TRUE
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,3,TRUE,-0.01804436307383828,0.017850359648146904,-0.05303106798420622,0.016942341836529654,FALSE,-0.01795905630370568,0.0032066030558399183,-0.02424399829315192,-0.01167411431425944,TRUE,-0.017959081230404156,0.003206527919278924,-0.024243875952190845,-0.011674286508617465,TRUE,5.566750650860117,8.530677013260032e-5,gains significance (deficit),TRUE
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,2,TRUE,-0.015010314718264159,0.04034346372139599,-0.09408350361220029,0.06406287417567198,FALSE,-0.015007342309641613,0.008955303743747065,-0.03255973764738586,0.002545053028102635,FALSE,-0.015007303710991547,0.008950910863077727,-0.03255108900262389,0.002536481580640796,FALSE,4.504979939911623,2.9724086225459134e-6,unchanged,TRUE
Breast cancer,Train: Multi incl. EUR,East Asian,1,TRUE,-0.009999999999999898,0.24928880548347546,-0.49860605874761177,0.478606058747612,FALSE,-0.009999999999999898,0.05865547446114814,-0.12496472994385024,0.10496472994385045,FALSE,-0.009999999999999898,0.05791037524546228,-0.12350433548110597,0.10350433548110617,FALSE,4.250051811422954,0,unchanged,TRUE
Breast Carcinoma,Train: European-only,South Asian,4,FALSE,-0.003567138072342114,0.06555623567415719,-0.1320573599936902,0.12492308384900598,FALSE,-0.003503949061665266,0.014832991973077329,-0.03257661332889683,0.0255687152055663,FALSE,-0.003507798709110131,0.014776289122790852,-0.0324693253897802,0.02545372797155994,FALSE,4.41962321513726,6.318901067684825e-5,unchanged,TRUE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,10,FALSE,-0.00309586633807853,0.014489621587772908,-0.03149552465011343,0.02530379197395637,FALSE,-0.0030549829004900705,0.0036040166141947045,-0.010118855464311691,0.004008889663331551,FALSE,-0.003055101698731154,0.003601716920024722,-0.010114466861979608,0.004004263464517301,FALSE,4.020409209742371,4.088343758845963e-5,unchanged,TRUE
Type 2 diabetes,Train: European-only,South Asian,12,FALSE,-0.0028176985975086836,0.009399297563374185,-0.021240321821722086,0.01560492462670472,FALSE,-1.4476444030600476e-4,0.002056130411488322,-0.004174780046823115,0.003885251166211106,FALSE,-1.4376910497379715e-4,0.0020558287966579813,-0.004173193546423441,0.0038856553364758463,FALSE,4.571352824148222,0.002672934157202679,unchanged,TRUE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,4,TRUE,0.00756378011122654,0.029056732896376558,-0.04938741636567151,0.06451497658812459,FALSE,0.007348232995708683,0.0051861630371520745,-0.002816646557109383,0.01751311254852675,FALSE,0.0073485723333416506,0.00518552234329914,-0.002815051459524664,0.017512196126207965,FALSE,5.6027418899527595,2.155471155178574e-4,unchanged,TRUE
Type 2 diabetes,Train: Multi incl. EUR,Middle Eastern or North African,1,TRUE,0.008399999999999963,0.0518928472897646,-0.09330998068793865,0.11010998068793858,FALSE,0.008399999999999963,0.010036729237164534,-0.011271989304842522,0.02807198930484245,FALSE,0.008399999999999963,0.01003430076834173,-0.011267229505949827,0.028067229505949753,FALSE,5.170294631204458,0,unchanged,TRUE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,4,TRUE,0.016938395864147773,0.04140629380852673,-0.0642179400005646,0.09809473172886016,FALSE,0.01696787099233745,0.007173286386234232,0.002908229675318357,0.031027512309356547,TRUE,0.0169676475987306,0.0071722538447726875,0.002910030062976132,0.031025265134485065,TRUE,5.772290632085559,2.947512818967865e-5,gains significance (advantage),TRUE
Type 2 diabetes,Train: European-only,East Asian,11,TRUE,0.016134076481443348,0.0453775225213786,-0.07280586766045871,0.1050740206233454,FALSE,0.017863765346773107,0.009010617866707373,2.0295432802665617e-4,0.03552457636551956,TRUE,0.017756348117750075,0.008991004886147538,1.3397854090090033e-4,0.03537871769459925,TRUE,5.036005653845388,0.0017296888653297593,gains significance (advantage),TRUE
Type 2 diabetes,Train: Multi incl. EUR,South Asian,2,TRUE,0.0160916928208513,0.04098409073459056,-0.06423712501894621,0.0964205106606488,FALSE,0.018418746160490235,0.007698180562385983,0.0033303122582137093,0.03350718006276676,TRUE,0.01821957588801072,0.007705605784320022,0.003116588550743475,0.03332256322527796,TRUE,5.323867166073318,0.002327053339638934,gains significance (advantage),TRUE
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,3,TRUE,0.02375802112902565,0.04455446224353377,-0.06356872486830054,0.11108476712635185,FALSE,0.024168064902884687,0.0072507432332198155,0.009956608165773848,0.03837952163999553,TRUE,0.024166697404898036,0.007251446336224649,0.009953862585897725,0.038379532223898345,TRUE,6.144813133004657,4.100437738590382e-4,gains significance (advantage),TRUE
Type 2 diabetes,Train: Multi incl. EUR,East Asian,2,TRUE,0.025219830320565167,0.12066858578383244,-0.2112905978157464,0.26173025845687675,FALSE,0.03561600100220171,0.020447880563782807,-0.004461844902812588,0.075693846907216,FALSE,0.03537315158076119,0.0204772599680319,-0.00476227795658133,0.07550858111810371,FALSE,5.901275949232611,0.010396170681636546,unchanged,TRUE
