trait_label,trained_bucket,target_ancestry,pgs_id,eur_auc,eur_lo_mixed,eur_hi_mixed,eur_lo_correct,eur_hi_correct,tgt_auc,tgt_lo_mixed,tgt_hi_mixed,tgt_lo_correct,tgt_hi_correct,any_mixed_bound_outside_0_1,max_abs_bound_error
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000011,0.75,0.7154721960429873,0.7845278039570127,0.7434703215879584,0.756417926423724,0.7630000000000001,0.6554121830717615,0.8705878169282387,0.7429981121390308,0.7819021359370208,FALSE,0.08868568099121787
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000011,0.75,0.7154721960429873,0.7845278039570127,0.7434703215879584,0.756417926423724,0.7689999999999999,0.6127862382329405,0.9252137617670593,0.740094446117248,0.7955787498818142,FALSE,0.12963501188524507
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000013,0.7708460233670892,0.7362532996705988,0.8054387470635795,0.7646783083954705,0.7768992480851987,0.771,0.6618908506476917,0.8801091493523083,0.7511690957175866,0.7896929377140595,FALSE,0.09041621163824887
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000013,0.7708460233670892,0.7362532996705988,0.8054387470635795,0.7646783083954705,0.7768992480851987,0.7760000000000001,0.6178658944418788,0.9341341055581215,0.747320520273509,0.802285518284014,FALSE,0.13184858727410753
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000018,0.7733198462100557,0.7386388082420403,0.808000884178071,0.7671828321572798,0.7793416184837326,0.775,0.6650968210538606,0.8849031789461395,0.755258855811658,0.7935839937098786,FALSE,0.09131918523626081
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000018,0.7733198462100557,0.7386388082420403,0.808000884178071,0.7671828321572798,0.7793416184837326,0.794,0.6304342472458742,0.9575657527541259,0.7659606510133299,0.8194718084477043,FALSE,0.13809394430642163
Breast cancer,Train: Multi incl. EUR,East Asian,PGS000028,0.6299999999999999,0.4578901596384626,0.8021098403615372,0.5890663290521554,0.6691463480406319,0.62,0.16271006626473733,1.0772899337352626,0.5080638736375093,0.7204788619289082,TRUE,0.3568110718063544
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000200,0.748,0.7135773286782569,0.7824226713217431,0.7414562474318029,0.7544329834141472,0.7630000000000001,0.6554121830717615,0.8705878169282387,0.7429981121390308,0.7819021359370208,FALSE,0.08868568099121787
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000200,0.748,0.7135773286782569,0.7824226713217431,0.7414562474318029,0.7544329834141472,0.771,0.6142476205401842,0.9277523794598158,0.7421577753955566,0.7974962535382099,FALSE,0.13025612592160596
Type 2 diabetes,Train: European-only,East Asian,PGS000330,0.7259999999999999,0.7034023901597606,0.7485976098402392,0.7214819111728207,0.7304721769557256,0.714,0.43704149416908894,0.9909585058309109,0.6542859829456422,0.7670717107460833,FALSE,0.22388679508482767
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000330,0.7259999999999999,0.7034023901597606,0.7485976098402392,0.7214819111728207,0.7304721769557256,0.768,0.7287035893906241,0.807296410609376,0.7609247203255239,0.7749278258111039,FALSE,0.03236858479827209
Type 2 diabetes,Train: European-only,South Asian,PGS000330,0.7259999999999999,0.7034023901597606,0.7485976098402392,0.7214819111728207,0.7304721769557256,0.724,0.6514664692606297,0.7965335307393703,0.7092732426314571,0.7382560649924618,FALSE,0.05827746574690851
Type 2 diabetes,Train: European-only,East Asian,PGS000713,0.712,0.6876145569615614,0.7363854430384386,0.7069738840732667,0.7169744185860063,0.754,0.45911558694694465,1.0488844130530555,0.6953340440546685,0.8045447670775646,TRUE,0.24433964597549085
