trait_label,trained_bucket,target_ancestry,n_pairs,delta_all,lo_all,hi_all,sig_all,n_pairs_covariate_matched,n_pairs_either_clinical,n_pairs_mixed_classes,delta_matched,lo_matched,hi_matched,sig_matched,inference_flip_matched,matched_reduced
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,2,-0.015007342309641613,-0.03255973764738586,0.002545053028102635,FALSE,2,2,0,-0.015007342309641613,-0.03255973764738586,0.002545053028102635,FALSE,FALSE,FALSE
Breast Carcinoma,Train: European-only,African,4,-0.052769152071433685,-0.09043727389618156,-0.015101030246685812,TRUE,0,0,4,NA,NA,NA,NA,FALSE,FALSE
Breast Carcinoma,Train: European-only,South Asian,4,-0.003503949061665266,-0.03257661332889683,0.0255687152055663,FALSE,0,0,4,NA,NA,NA,NA,FALSE,FALSE
Breast cancer,Train: European-only,East Asian,1,-0.04832585954109281,-0.09451087690324105,-0.0021408421789445714,TRUE,1,0,0,-0.04832585954109281,-0.09451087690324105,-0.0021408421789445714,TRUE,FALSE,FALSE
Breast cancer,Train: European-only,South Asian,11,-0.023141716438275492,-0.0315800975457535,-0.014703335330797488,TRUE,11,0,0,-0.023141716438275492,-0.0315800975457535,-0.014703335330797488,TRUE,FALSE,FALSE
Breast cancer,Train: Multi incl. EUR,East Asian,1,-0.009999999999999898,-0.12496472994385024,0.10496472994385045,FALSE,1,0,0,-0.009999999999999898,-0.12496472994385024,0.10496472994385045,FALSE,FALSE,FALSE
Colorectal cancer,Train: European-only,African,1,-0.10704898666120044,-0.16154234893607697,-0.05255562438632392,TRUE,1,0,0,-0.10704898666120044,-0.16154234893607697,-0.05255562438632392,TRUE,FALSE,FALSE
Colorectal cancer,Train: European-only,East Asian,1,-0.04432621120828717,-0.10856028678758403,0.019907864371009693,FALSE,1,0,0,-0.04432621120828717,-0.10856028678758403,0.019907864371009693,FALSE,FALSE,FALSE
Colorectal cancer,Train: European-only,Hispanic or Latin American,1,-0.05071728498401462,-0.09838192405904722,-0.0030526459089820143,TRUE,1,0,0,-0.05071728498401462,-0.09838192405904722,-0.0030526459089820143,TRUE,FALSE,FALSE
Colorectal cancer,Train: Multi incl. EUR,African,2,-0.04178303950009832,-0.055804336124979016,-0.02776174287521762,TRUE,2,0,0,-0.04178303950009832,-0.055804336124979016,-0.02776174287521762,TRUE,FALSE,FALSE
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,2,-0.02500451012139637,-0.03771823304035199,-0.012290787202440749,TRUE,2,0,0,-0.02500451012139637,-0.03771823304035199,-0.012290787202440749,TRUE,FALSE,FALSE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,4,0.007348232995708683,-0.002816646557109383,0.01751311254852675,FALSE,2,4,2,0.013999775395839898,-5.004301525207543e-4,0.028499980944200552,FALSE,FALSE,TRUE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,4,0.01696787099233745,0.002908229675318357,0.031027512309356547,TRUE,2,4,2,0.021004803839124724,8.801252114670199e-4,0.04112948246678243,TRUE,FALSE,TRUE
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,2,-0.051498874168417884,-0.07029376312197966,-0.03270398521485611,TRUE,2,0,0,-0.051498874168417884,-0.07029376312197966,-0.03270398521485611,TRUE,FALSE,FALSE
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,2,-0.10399999999999998,-0.13620860218689737,-0.07179139781310259,TRUE,2,2,0,-0.10399999999999998,-0.13620860218689737,-0.07179139781310259,TRUE,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,3,-0.01795905630370568,-0.02424399829315192,-0.01167411431425944,TRUE,3,0,0,-0.01795905630370568,-0.02424399829315192,-0.01167411431425944,TRUE,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,3,-0.06898350648427742,-0.08852802052521641,-0.049438992443338436,TRUE,3,0,0,-0.06898350648427742,-0.08852802052521641,-0.049438992443338436,TRUE,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,3,0.024168064902884687,0.009956608165773848,0.03837952163999553,TRUE,3,0,0,0.024168064902884687,0.009956608165773848,0.03837952163999553,TRUE,FALSE,FALSE
Seropositive RA,Train: Multi incl. EUR,South Asian,2,0.048994498203977804,0.003307551195092219,0.0946814452128634,TRUE,2,0,0,0.048994498203977804,0.003307551195092219,0.0946814452128634,TRUE,FALSE,FALSE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,10,-0.0030549829004900705,-0.010118855464311691,0.004008889663331551,FALSE,10,0,0,-0.0030549829004900705,-0.010118855464311691,0.004008889663331551,FALSE,FALSE,FALSE
Type 2 diabetes,Train: European-only,East Asian,11,0.017863765346773107,2.0295432802665617e-4,0.03552457636551956,TRUE,11,0,0,0.017863765346773107,2.0295432802665617e-4,0.03552457636551956,TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,Hispanic or Latin American,10,0.05214415483490029,0.04945502928789901,0.05483328038190158,TRUE,10,0,0,0.05214415483490029,0.04945502928789901,0.05483328038190158,TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,South Asian,12,-1.4476444030600476e-4,-0.004174780046823115,0.003885251166211106,FALSE,12,0,0,-1.4476444030600476e-4,-0.004174780046823115,0.003885251166211106,FALSE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,African,1,-0.01903665632198348,-0.03008321759438177,-0.007990095049585194,TRUE,1,0,0,-0.01903665632198348,-0.03008321759438177,-0.007990095049585194,TRUE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,East Asian,2,0.03561600100220171,-0.004461844902812588,0.075693846907216,FALSE,2,0,0,0.03561600100220171,-0.004461844902812588,0.075693846907216,FALSE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,5,0.0356794827284969,0.030922105789837145,0.040436859667156655,TRUE,5,1,0,0.0356794827284969,0.030922105789837145,0.040436859667156655,TRUE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,Middle Eastern or North African,1,0.008399999999999963,-0.011271989304842522,0.02807198930484245,FALSE,1,0,0,0.008399999999999963,-0.011271989304842522,0.02807198930484245,FALSE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,South Asian,2,0.018418746160490235,0.0033303122582137093,0.03350718006276676,TRUE,2,0,0,0.018418746160490235,0.0033303122582137093,0.03350718006276676,TRUE,FALSE,FALSE
