trait_label,trained_bucket,target_ancestry,pgs_id,delta,delta_se,is_pooled,eur_k,tgt_k,eur_classes,tgt_classes,eur_covariates_txt,tgt_covariates_txt,covariate_matched,either_side_clinical,either_side_mixed_classes
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000011,0.013000000000000123,0.01046126776611976,FALSE,1,1,Clinical or other covariates,Clinical or other covariates,"age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components","age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components",TRUE,TRUE,FALSE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000011,0.018999999999999906,0.01453818121351187,FALSE,1,1,Clinical or other covariates,Clinical or other covariates,"age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components","age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components",TRUE,TRUE,FALSE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000013,1.5397663291083497e-4,0.010311276544562226,FALSE,2,1,Age/sex/PCs/technical | Clinical or other covariates,Clinical or other covariates,"age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components || sex, age","age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components",FALSE,TRUE,TRUE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000013,0.00515397663291095,0.01436658543457772,FALSE,2,1,Age/sex/PCs/technical | Clinical or other covariates,Clinical or other covariates,"age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components || sex, age","age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components",FALSE,TRUE,TRUE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000018,0.0016801537899443497,0.010257928650575747,FALSE,2,1,Age/sex/PCs/technical | Clinical or other covariates,Clinical or other covariates,"age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components || sex, age","age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components",FALSE,TRUE,TRUE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000018,0.020680153789944367,0.013997715431826934,FALSE,2,1,Age/sex/PCs/technical | Clinical or other covariates,Clinical or other covariates,"age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components || sex, age","age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components",FALSE,TRUE,TRUE
Breast cancer,Train: Multi incl. EUR,East Asian,PGS000028,-0.009999999999999898,0.05865547446114813,FALSE,1,1,None (PRS only),None (PRS only),,,TRUE,FALSE,FALSE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000200,0.015000000000000124,0.010463617674310465,FALSE,1,1,Clinical or other covariates,Clinical or other covariates,"age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components","age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components",TRUE,TRUE,FALSE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000200,0.02300000000000002,0.014503303508070874,FALSE,1,1,Clinical or other covariates,Clinical or other covariates,"age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components","age at first EHR record, duration of EHR, sex, eMERGE site, first five ancestry-specific principal components",TRUE,TRUE,FALSE
Type 2 diabetes,Train: European-only,East Asian,PGS000330,-0.0119999999999999,0.028946121576012427,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex assessment centre (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
