trait_label,trained_bucket,target_ancestry,pgs_id,delta,delta_se,gwas_pct_european,gwas_pct_target,gwas_pct_multi_incl_eur,dev_pct_european,dev_pct_target,dev_pct_multi_incl_eur,dev_reported,target_in_gwas,target_in_dev,multi_incl_eur_in_gwas_or_dev,target_possibly_represented,bucket_consistent,pgs_name,dev_method,n_variants,anc_gwas_txt,anc_dev_txt
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000011,0.013000000000000123,0.01046126776611976,40.3,0,53.3,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,GRS50,Genome-wide significant variants,50,Multi-ancestry (including European):53.3|European:40.3|South Asian:6.4,NA
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000011,0.018999999999999906,0.01453818121351187,40.3,0,53.3,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,GRS50,Genome-wide significant variants,50,Multi-ancestry (including European):53.3|European:40.3|South Asian:6.4,NA
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000013,1.5397663291083497e-4,0.010311276544562226,75.3,1.7,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,GPS_CAD,LDpred,6630150,European:75.3|South Asian:13.6|East Asian:6|Hispanic or Latin American:2.2|African:1.7|Greater Middle Eastern:1.2,European:100
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000013,0.00515397663291095,0.01436658543457772,75.3,2.2,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,GPS_CAD,LDpred,6630150,European:75.3|South Asian:13.6|East Asian:6|Hispanic or Latin American:2.2|African:1.7|Greater Middle Eastern:1.2,European:100
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000018,0.0016801537899443497,0.010257928650575747,37,0.8,50.9,0,0,100,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,metaGRS_CAD,metaGRS,1745179,Multi-ancestry (including European):50.9|European:37|South Asian:6.7|East Asian:3|Hispanic or Latin American:1.1|African:0.8|Greater Middle Eastern:0.6,Multi-ancestry (including European):100
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000018,0.020680153789944367,0.013997715431826934,37,1.1,50.9,0,0,100,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,metaGRS_CAD,metaGRS,1745179,Multi-ancestry (including European):50.9|European:37|South Asian:6.7|East Asian:3|Hispanic or Latin American:1.1|African:0.8|Greater Middle Eastern:0.6,Multi-ancestry (including European):100
Breast cancer,Train: Multi incl. EUR,East Asian,PGS000028,-0.009999999999999898,0.05865547446114813,80.7,13.4,0,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,PRS,composite likelihood ratio,83,European:80.7|East Asian:13.4|Hispanic or Latin American:3.3|African:2.6,NA
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,PGS000200,0.015000000000000124,0.010463617674310465,88.3,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,GRS28,Genome-wide significant variants,28,European:88.3|South Asian:11.7,NA
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,PGS000200,0.02300000000000002,0.014503303508070874,88.3,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,GRS28,Genome-wide significant variants,28,European:88.3|South Asian:11.7,NA
Type 2 diabetes,Train: European-only,East Asian,PGS000330,-0.0119999999999999,0.028946121576012427,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PRS_T2D,LDpred,6437380,European:100,European:100
