trait_label,trained_bucket,target_ancestry,n_pairs,all_not_pooled,k_eval_eur_min,k_eval_tgt_min,delta_log_ratio,se_log_ratio,tau2,Q_stage2,I2_stage2,lo_log_ratio,hi_log_ratio,sig_log_ratio,model,ratio_of_ratios,ratio_lo,ratio_hi,metrics_used,n_pairs_auc,delta_auc,lo_auc,hi_auc,sig_auc,in_figure1c,direction_agrees,both_significant_same_direction,sig_opposite_direction
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,2,TRUE,1,1,-0.03256989359549552,0.04158115814054412,0,0.3059638131521949,0,-0.11406896355096198,0.04892917635997095,FALSE,fixed,0.9679547936261622,0.8921964247271245,1.0501459729458402,OR,2,-0.015007342309641613,-0.03255973764738586,0.002545053028102635,FALSE,TRUE,TRUE,FALSE,FALSE
Breast Carcinoma,Train: European-only,African,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-0.052769152071433685,-0.09043727389618156,-0.015101030246685812,TRUE,TRUE,NA,NA,NA
Breast Carcinoma,Train: European-only,South Asian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-0.003503949061665266,-0.03257661332889683,0.0255687152055663,FALSE,TRUE,NA,FALSE,FALSE
Breast cancer,Train: European-only,East Asian,1,TRUE,5,1,-0.17313960064367884,0.0157878338773924,0,NA,NA,-0.20408375504336795,-0.14219544624398972,TRUE,fixed,0.8410201996879748,0.8153940749611456,0.8674516997402825,OR,1,-0.04832585954109281,-0.09451087690324105,-0.0021408421789445714,TRUE,TRUE,TRUE,TRUE,FALSE
Breast cancer,Train: European-only,South Asian,12,FALSE,4,1,-0.11377941560118898,0.015472894082642059,0,2.5519423176533533,0,-0.1441062880031674,-0.08345254319921055,TRUE,fixed,0.8924547957762977,0.8657957194703508,0.9199347427951664,OR,11,-0.023141716438275492,-0.0315800975457535,-0.014703335330797488,TRUE,TRUE,TRUE,TRUE,FALSE
Breast cancer,Train: Multi incl. EUR,East Asian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.009999999999999898,-0.12496472994385024,0.10496472994385045,FALSE,TRUE,NA,FALSE,FALSE
Colorectal cancer,Train: European-only,African,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.10704898666120044,-0.16154234893607697,-0.05255562438632392,TRUE,TRUE,NA,NA,NA
Colorectal cancer,Train: European-only,East Asian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.04432621120828717,-0.10856028678758403,0.019907864371009693,FALSE,TRUE,NA,FALSE,FALSE
Colorectal cancer,Train: European-only,Hispanic or Latin American,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.05071728498401462,-0.09838192405904722,-0.0030526459089820143,TRUE,TRUE,NA,NA,NA
Colorectal cancer,Train: Multi incl. EUR,African,1,TRUE,1,1,-0.18351987928606345,0.037239223216016686,0,NA,NA,-0.25650875678945617,-0.11053100178267075,TRUE,fixed,0.8323353293413173,0.7737482189795606,0.8953585720473493,OR,2,-0.04178303950009832,-0.055804336124979016,-0.02776174287521762,TRUE,TRUE,TRUE,TRUE,FALSE
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,1,TRUE,1,1,-0.03039747718437097,0.041550740694760696,0,NA,NA,-0.11183692894610194,0.05104197457736,FALSE,fixed,0.970059880239521,0.8941900621275933,1.0523670650189343,OR,2,-0.02500451012139637,-0.03771823304035199,-0.012290787202440749,TRUE,TRUE,TRUE,FALSE,FALSE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,4,TRUE,1,1,-0.1998758365454578,0.020930827352427097,0,2.59201900944727,0,-0.2409002581562149,-0.15885141493470067,TRUE,fixed,0.8188324158278925,0.7859200115901619,0.8531231109053182,OR,4,0.007348232995708683,-0.002816646557109383,0.01751311254852675,FALSE,TRUE,FALSE,FALSE,FALSE
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,4,TRUE,1,1,-0.026919993233172266,0.032953213231154355,0,8.302745021670999,63.867371668409675,-0.0915082911662348,0.03766830469989027,FALSE,fixed,0.9734391201255926,0.9125537499858057,1.038386747745683,OR,4,0.01696787099233745,0.002908229675318357,0.031027512309356547,TRUE,TRUE,FALSE,FALSE,FALSE
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,2,TRUE,1,1,-0.18208937863058317,0.03217922544189892,0,0.08476096456421134,0,-0.24516066049670504,-0.11901809676446129,TRUE,fixed,0.8335268375990061,0.7825787986429447,0.8877917344586673,OR,2,-0.051498874168417884,-0.07029376312197966,-0.03270398521485611,TRUE,TRUE,TRUE,TRUE,FALSE
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-0.10399999999999998,-0.13620860218689737,-0.07179139781310259,TRUE,TRUE,NA,NA,NA
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,2,TRUE,1,1,-0.032702779456610015,0.019035715641764518,0,0.0785124739806273,0,-0.07001278211446847,0.004607223201248442,FALSE,fixed,0.9678261746659013,0.9323819020175805,1.0046178527720606,OR,3,-0.01795905630370568,-0.02424399829315192,-0.01167411431425944,TRUE,TRUE,TRUE,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,6,FALSE,1,1,-0.08129113083382047,0.027618362319187746,0,8.392479402838532,40.42285050698029,-0.13542312097942846,-0.027159140688212492,TRUE,fixed,0.9219252515037417,0.8733463023559843,0.9732063524713834,HR+OR,3,-0.06898350648427742,-0.08852802052521641,-0.049438992443338436,TRUE,TRUE,TRUE,TRUE,FALSE
