trait_label,pgs_id,trained_bucket,metric,target_ancestry,tgt_log,tgt_se,tgt_k,eur_log,eur_se,eur_k,is_pooled,delta,delta_se
Coronary heart disease (incident and prevalent),PGS000011,Train: Multi incl. EUR,OR,African,0.04879016416943205,0.03857932901120497,1,0.2468600779315258,0.013900047266344334,1,FALSE,-0.19806991376209376,0.04100702306875504
Coronary heart disease (incident and prevalent),PGS000011,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.1823215567939546,0.06169277661386794,1,0.2468600779315258,0.013900047266344334,1,FALSE,-0.06453852113757122,0.06323930739923721
Incident coronary heart disease,PGS000011,Train: Multi incl. EUR,HR,African,0.04879016416943205,0.04022802526914149,2,0.19082592099946707,0.012178270452588165,3,TRUE,-0.14203575683003503,0.04203099199722828
Incident coronary heart disease,PGS000011,Train: Multi incl. EUR,HR,Hispanic or Latin American,0.1177731590156262,0.06855605748005372,2,0.19082592099946707,0.012178270452588165,3,TRUE,-0.07305276198384088,0.06962932778955153
Coronary heart disease (incident and prevalent),PGS000013,Train: Multi incl. EUR,OR,African,0.26236426446749106,0.039022792036078356,1,0.5046764422366308,0.013385548628686534,2,FALSE,-0.24231217776913971,0.04125471137193851
Coronary heart disease (incident and prevalent),PGS000013,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.35065687161316933,0.06456393563320457,1,0.5046764422366308,0.013385548628686534,2,FALSE,-0.15401957062346144,0.06593689935490989
Incident coronary heart disease,PGS000013,Train: Multi incl. EUR,HR,African,0.1659803861716074,0.040382328914357606,2,0.39962455813794856,0.015315953630037476,3,TRUE,-0.23364417196634116,0.04318924546857493
Incident coronary heart disease,PGS000013,Train: Multi incl. EUR,HR,Hispanic or Latin American,0.13987587462276546,0.06994425005323036,2,0.39962455813794856,0.015315953630037476,3,TRUE,-0.2597486835151831,0.07160151221242658
Breast cancer,PGS000015,Train: European-only,OR,Hispanic or Latin American,0.30010459245033816,0.09957556798772045,1,0.37843643572024505,0.01747957817264187,1,FALSE,-0.07833184326990689,0.10109811765394366
Coronary heart disease (incident and prevalent),PGS000018,Train: Multi incl. EUR,OR,African,0.3364722366212129,0.03988420163027908,1,0.5446606276165712,0.014314812849311253,2,FALSE,-0.2081883909953583,0.04237526880853457
