trait_label,trained_bucket,target_ancestry,n_pgs,pgs_ids,n_ppm_eur,n_ppm_target,n_pss_eur,n_pss_target,n_ppm_reported_ci,n_ppm_recovered_ci,ppm_ids_eur,ppm_ids_target,pss_ids_eur,pss_ids_target
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,2,PGS002238;PGS002239,2,2,1,1,3,1,PPM012727;PPM012730,PPM012726;PPM012729,PSS009512,PSS009511
Breast Carcinoma,Train: European-only,African,4,PGS005345;PGS005346;PGS005347;PGS005348,24,8,3,1,32,0,PPM023137;PPM023138;PPM023139;PPM023140;PPM023142;PPM023143;PPM023144;PPM023145;PPM023147;PPM023148;PPM023149;PPM023150;PPM023162;PPM023163;PPM023164;PPM023165;PPM023167;PPM023168;PPM023169;PPM023170;PPM023172;PPM023173;PPM023174;PPM023175,PPM023152;PPM023153;PPM023154;PPM023155;PPM023177;PPM023178;PPM023179;PPM023180,PSS012137;PSS012138;PSS012140,PSS012139
Breast Carcinoma,Train: European-only,South Asian,4,PGS005345;PGS005346;PGS005347;PGS005348,24,8,3,1,32,0,PPM023137;PPM023138;PPM023139;PPM023140;PPM023142;PPM023143;PPM023144;PPM023145;PPM023147;PPM023148;PPM023149;PPM023150;PPM023162;PPM023163;PPM023164;PPM023165;PPM023167;PPM023168;PPM023169;PPM023170;PPM023172;PPM023173;PPM023174;PPM023175,PPM023157;PPM023158;PPM023159;PPM023160;PPM023182;PPM023183;PPM023184;PPM023185,PSS012137;PSS012138;PSS012140,PSS012141
Breast cancer,Train: European-only,East Asian,1,PGS001336,2,1,2,1,3,0,PPM009168;PPM009170,PPM009167,PSS007618;PSS007620,PSS007617
Breast cancer,Train: European-only,South Asian,11,PGS001336;PGS003983;PGS003999;PGS004025;PGS004040;PGS004053;PGS004069;PGS004083;PGS004107;PGS004123;PGS004153,42,21,6,3,63,0,PPM009168;PPM009170;PPM019365;PPM019366;PPM019368;PPM019370;PPM019371;PPM019372;PPM019374;PPM019376;PPM019377;PPM019378;PPM019380;PPM019382;PPM019383;PPM019384;PPM019386;PPM019388;PPM019389;PPM019390;PPM019392;PPM019394;PPM019401;PPM019402;PPM019404;PPM019406;PPM019407;PPM019408;PPM019410;PPM019412;PPM019413;PPM019414;PPM019416;PPM019418;PPM019419;PPM019420;PPM019422;PPM019424;PPM019425;PPM019426;PPM019428;PPM019430,PPM009169;PPM019367;PPM019369;PPM019373;PPM019375;PPM019379;PPM019381;PPM019385;PPM019387;PPM019391;PPM019393;PPM019403;PPM019405;PPM019409;PPM019411;PPM019415;PPM019417;PPM019421;PPM019423;PPM019427;PPM019429,PSS007618;PSS007620;PSS011215;PSS011227;PSS011254;PSS011268,PSS007619;PSS011238;PSS011282
Breast cancer,Train: Multi incl. EUR,East Asian,1,PGS000028,1,1,1,1,2,0,PPM000060,PPM000059,PSS000039,PSS000038
Colorectal cancer,Train: European-only,African,1,PGS003851,2,2,2,2,4,0,PPM018669;PPM018684,PPM018671;PPM018682,PSS011059;PSS011065,PSS011057;PSS011063
Colorectal cancer,Train: European-only,East Asian,1,PGS003851,2,1,2,1,3,0,PPM018669;PPM018684,PPM018670,PSS011059;PSS011065,PSS011058
Colorectal cancer,Train: European-only,Hispanic or Latin American,1,PGS003851,2,2,2,2,4,0,PPM018669;PPM018684,PPM018672;PPM018683,PSS011059;PSS011065,PSS011060;PSS011064
Colorectal cancer,Train: Multi incl. EUR,African,2,PGS003850;PGS003852,2,2,1,1,4,0,PPM018676;PPM018680,PPM018674;PPM018678,PSS011065,PSS011063
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,2,PGS003850;PGS003852,2,2,1,1,4,0,PPM018676;PPM018680,PPM018675;PPM018679,PSS011065,PSS011064
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,4,PGS000011;PGS000013;PGS000018;PGS000200,6,4,2,1,2,8,PPM000598;PPM000599;PPM000600;PPM000610;PPM017085;PPM017089,PPM000601;PPM000602;PPM000603;PPM000611,PSS000333;PSS010122,PSS000331
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,4,PGS000011;PGS000013;PGS000018;PGS000200,6,4,2,1,2,8,PPM000598;PPM000599;PPM000600;PPM000610;PPM017085;PPM017089,PPM000604;PPM000605;PPM000606;PPM000612,PSS000333;PSS010122,PSS000335
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,2,PGS002250;PGS003394,2,2,1,1,0,4,PPM016269;PPM016274,PPM016272;PPM016275,PSS010091,PSS010090
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,2,PGS001800;PGS001801,2,2,1,1,4,0,PPM015563;PPM015566,PPM015564;PPM015567,PSS009985,PSS009983
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,3,PGS004696;PGS004697;PGS004698,3,3,1,1,0,6,PPM020903;PPM020904;PPM020913,PPM020909;PPM020910;PPM020916,PSS011448,PSS011447
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,3,PGS004696;PGS004697;PGS004698,3,3,1,1,0,6,PPM020903;PPM020904;PPM020913,PPM020907;PPM020908;PPM020915,PSS011448,PSS011449
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,3,PGS004696;PGS004697;PGS004698,3,3,1,1,0,6,PPM020903;PPM020904;PPM020913,PPM020911;PPM020912;PPM020917,PSS011448,PSS011450
Seropositive RA,Train: Multi incl. EUR,South Asian,2,PGS004118;PGS004133,8,2,4,1,10,0,PPM020005;PPM020006;PPM020008;PPM020009;PPM020010;PPM020011;PPM020013;PPM020014,PPM020007;PPM020012,PSS011222;PSS011233;PSS011262;PSS011275,PSS011246
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,10,PGS003984;PGS004000;PGS004015;PGS004041;PGS004054;PGS004070;PGS004098;PGS004108;PGS004124;PGS004154,40,20,4,2,60,0,PPM019431;PPM019432;PPM019434;PPM019436;PPM019437;PPM019438;PPM019440;PPM019442;PPM019443;PPM019444;PPM019446;PPM019448;PPM019449;PPM019450;PPM019452;PPM019454;PPM019461;PPM019462;PPM019464;PPM019466;PPM019473;PPM019474;PPM019476;PPM019478;PPM019479;PPM019480;PPM019482;PPM019484;PPM019485;PPM019486;PPM019488;PPM019490;PPM019497;PPM019498;PPM019500;PPM019502;PPM019503;PPM019504;PPM019506;PPM019508,PPM019433;PPM019435;PPM019439;PPM019441;PPM019445;PPM019447;PPM019451;PPM019453;PPM019463;PPM019465;PPM019475;PPM019477;PPM019481;PPM019483;PPM019487;PPM019489;PPM019499;PPM019501;PPM019505;PPM019507,PSS011223;PSS011234;PSS011263;PSS011276,PSS011247;PSS011290
Type 2 diabetes,Train: European-only,East Asian,11,PGS000330;PGS000713;PGS000729;PGS000864;PGS000868;PGS001295;PGS001818;PGS002026;PGS002671;PGS002771;PGS002780,12,11,3,2,23,0,PPM008975;PPM008977;PPM021411;PPM021416;PPM021418;PPM021419;PPM021420;PPM021421;PPM021424;PPM021429;PPM021430;PPM021431,PPM008974;PPM021597;PPM021602;PPM021604;PPM021605;PPM021607;PPM021608;PPM021610;PPM021611;PPM021613;PPM021617,PSS004314;PSS004316;PSS011737,PSS004313;PSS011745
Type 2 diabetes,Train: European-only,Hispanic or Latin American,10,PGS000330;PGS000713;PGS000729;PGS000864;PGS000868;PGS001818;PGS002026;PGS002671;PGS002771;PGS002780,10,10,1,1,20,0,PPM021411;PPM021416;PPM021418;PPM021419;PPM021420;PPM021421;PPM021424;PPM021429;PPM021430;PPM021431,PPM021493;PPM021495;PPM021496;PPM021498;PPM021499;PPM021501;PPM021502;PPM021507;PPM021508;PPM021509,PSS011737,PSS011736
Type 2 diabetes,Train: European-only,South Asian,12,PGS000330;PGS000713;PGS000729;PGS000864;PGS000868;PGS001295;PGS001818;PGS002026;PGS002671;PGS002771;PGS002780;PGS004106,16,13,7,4,29,0,PPM008975;PPM008977;PPM019299;PPM019300;PPM019302;PPM019304;PPM021411;PPM021416;PPM021418;PPM021419;PPM021420;PPM021421;PPM021424;PPM021429;PPM021430;PPM021431,PPM008976;PPM019301;PPM019303;PPM021622;PPM021624;PPM021626;PPM021627;PPM021628;PPM021630;PPM021632;PPM021634;PPM021636;PPM021638,PSS004314;PSS004316;PSS011225;PSS011236;PSS011265;PSS011278;PSS011737,PSS004315;PSS011249;PSS011291;PSS011749
Type 2 diabetes,Train: Multi incl. EUR,African,1,PGS004859,1,2,1,2,3,0,PPM021088,PPM021085;PPM021090,PSS011518,PSS011514;PSS011515
Type 2 diabetes,Train: Multi incl. EUR,East Asian,2,PGS003443;PGS004859,2,2,2,2,4,0,PPM021088;PPM021412,PPM021087;PPM021599,PSS011518;PSS011737,PSS011517;PSS011745
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,5,PGS002308;PGS003443;PGS003867;PGS004859;PGS005242,5,5,4,4,8,2,PPM013064;PPM021088;PPM021412;PPM021415;PPM022723,PPM013066;PPM021086;PPM021488;PPM021492;PPM022721,PSS009677;PSS011518;PSS011737;PSS012060,PSS009678;PSS011516;PSS011736;PSS012061
Type 2 diabetes,Train: Multi incl. EUR,Middle Eastern or North African,1,PGS003867,1,1,1,1,2,0,PPM021415,PPM018759,PSS011737,PSS011097
Type 2 diabetes,Train: Multi incl. EUR,South Asian,2,PGS003443;PGS004859,2,2,2,2,4,0,PPM021088;PPM021412,PPM021089;PPM021618,PSS011518;PSS011737,PSS011519;PSS011749
