catalog_snapshot,trait_label,trained_bucket,target_ancestry,side,evaluation_ancestry,pgs_id,pgs_name,dev_method,n_variants,performance_id,sampleset_id,auc,estimate_ci_lower,estimate_ci_upper,ci_source,n_individuals,n_cases,n_controls,pct_male,covariates_txt,cohort_txt,or_txt,hr_txt,catalog_all_of_us
20260923,Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,European,European,PGS002238,SBP_PRS,PRS-CS,1119444,PPM012730,PSS009512,0.68,0.669,0.689,reported_native_or_parsed,28545,2961,25584,46,"age, age^2, bmi, sex, top 10 principal components of ancestry",BioVU,"1.11 [1.06,1.17]",NA,FALSE
20260923,Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,Target,African,PGS002238,SBP_PRS,PRS-CS,1119444,PPM012729,PSS009511,0.666,0.637,0.683,reported_native_or_parsed,5026,574,4452,37,"age, age^2, bmi, sex, top 10 principal components of ancestry",BioVU,"1.05 [0.95,1.17]",NA,FALSE
20260923,Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,European,European,PGS002239,DBP_PRS,PRS-CS,1119054,PPM012727,PSS009512,0.679,0.667841432653722,0.6899577332788518,inferred_hm,28545,2961,25584,46,"age, age^2, bmi, sex, top 10 principal components of ancestry",BioVU,"1.05 [1.01,1.11]",NA,FALSE
20260923,Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,Target,African,PGS002239,DBP_PRS,PRS-CS,1119054,PPM012726,PSS009511,0.663,0.644,0.688,reported_native_or_parsed,5026,574,4452,37,"age, age^2, bmi, sex, top 10 principal components of ancestry",BioVU,"1.04 [0.94,1.16]",NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005345,SCT,SCT (Stacked Clumping and Thresholding),435538,PPM023137,PSS012140,0.641,0.632,0.651,reported_native_or_parsed,212360,3083,209277,0,-,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005345,SCT,SCT (Stacked Clumping and Thresholding),435538,PPM023142,PSS012138,0.637,0.598,0.677,reported_native_or_parsed,8291,176,8115,0,-,QSKIN,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005345,SCT,SCT (Stacked Clumping and Thresholding),435538,PPM023147,PSS012137,0.658,0.619,0.697,reported_native_or_parsed,2654,194,2460,0,-,MCCS,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005345,SCT,SCT (Stacked Clumping and Thresholding),435538,PPM023162,PSS012140,0.645,0.635,0.655,reported_native_or_parsed,212360,3083,209277,0,Age-specific absolute risk adjusted by PGS relative risk,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005345,SCT,SCT (Stacked Clumping and Thresholding),435538,PPM023167,PSS012138,0.638,0.598,0.679,reported_native_or_parsed,8291,176,8115,0,Age-specific absolute risk adjusted by PGS relative risk,QSKIN,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005345,SCT,SCT (Stacked Clumping and Thresholding),435538,PPM023172,PSS012137,0.647,0.609,0.686,reported_native_or_parsed,2654,194,2460,0,Age-specific absolute risk adjusted by PGS relative risk,MCCS,NA,NA,FALSE
