trait_label,trained_bucket,target_ancestry,side,n_sample_sets,n_sample_sets_with_sex,median_pct_male,min_pct_male,max_pct_male,sex_specific_trait,single_sex_sample_sets
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,European,1,1,46,46,46,FALSE,FALSE
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,Target,1,1,37,37,37,FALSE,FALSE
Breast Carcinoma,Train: European-only,African,European,3,3,0,0,0,TRUE,TRUE
Breast Carcinoma,Train: European-only,African,Target,1,1,0,0,0,TRUE,TRUE
Breast Carcinoma,Train: European-only,South Asian,European,3,3,0,0,0,TRUE,TRUE
Breast Carcinoma,Train: European-only,South Asian,Target,1,1,0,0,0,TRUE,TRUE
Breast cancer,Train: European-only,East Asian,European,2,0,NA,NA,NA,TRUE,FALSE
Breast cancer,Train: European-only,East Asian,Target,1,0,NA,NA,NA,TRUE,FALSE
Breast cancer,Train: European-only,South Asian,European,6,4,0,0,0,TRUE,TRUE
Breast cancer,Train: European-only,South Asian,Target,3,2,0,0,0,TRUE,TRUE
Breast cancer,Train: Multi incl. EUR,East Asian,European,1,1,0,0,0,TRUE,TRUE
Breast cancer,Train: Multi incl. EUR,East Asian,Target,1,1,0,0,0,TRUE,TRUE
Colorectal cancer,Train: European-only,African,European,2,2,47.175,41.6,52.75,FALSE,FALSE
Colorectal cancer,Train: European-only,African,Target,2,2,54.75,44,65.5,FALSE,FALSE
Colorectal cancer,Train: European-only,East Asian,European,2,2,47.175,41.6,52.75,FALSE,FALSE
Colorectal cancer,Train: European-only,East Asian,Target,1,1,42.1,42.1,42.1,FALSE,FALSE
Colorectal cancer,Train: European-only,Hispanic or Latin American,European,2,2,47.175,41.6,52.75,FALSE,FALSE
Colorectal cancer,Train: European-only,Hispanic or Latin American,Target,2,2,43.1,38.7,47.5,FALSE,FALSE
Colorectal cancer,Train: Multi incl. EUR,African,European,1,1,52.75,52.75,52.75,FALSE,FALSE
Colorectal cancer,Train: Multi incl. EUR,African,Target,1,1,44,44,44,FALSE,FALSE
