setting,pgs_id,trait_label,side,performance_id,sampleset_id,auc,n_cases,n_controls,prevalence_used,prevalence_role,n_case_control_pairs_in_catalog,r2_liability,formula
fixed_auc,NA,NA,NA,NA,NA,0.6,NA,NA,0.01,external_population_prevalence,NA,0.017561700118922344,Wray et al. 2010 population-sample liability-threshold mapping. Not reported as a result; it shows that K must be supplied.
fixed_auc,NA,NA,NA,NA,NA,0.6,NA,NA,0.1,external_population_prevalence,NA,0.033134140100801415,Wray et al. 2010 population-sample liability-threshold mapping. Not reported as a result; it shows that K must be supplied.
fixed_auc,NA,NA,NA,NA,NA,0.6,NA,NA,0.5,external_population_prevalence,NA,0.04884309732433753,Wray et al. 2010 population-sample liability-threshold mapping. Not reported as a result; it shows that K must be supplied.
catalog_case_fraction_used_as_k,PGS002250,Epithelial non-mucinous ovarian cancer,European,PPM016269,PSS010091,0.588,657,198101,0.003305527324686302,single_catalog_case_fraction_used_as_k,1,0.010718149012383195,Wray et al. 2010 population-sample liability-threshold mapping. Not reported as a result; it shows that K must be supplied.
catalog_case_fraction_used_as_k,PGS002250,Epithelial non-mucinous ovarian cancer,Target,PPM016272,PSS010090,0.538,2841,4828,0.3704524709870909,single_catalog_case_fraction_used_as_k,1,0.006908482434271279,Wray et al. 2010 population-sample liability-threshold mapping. Not reported as a result; it shows that K must be supplied.
shared_external_k,PGS002250,Epithelial non-mucinous ovarian cancer,European,PPM016269,PSS010091,0.588,NA,NA,0.01,one_external_k_applied_to_the_auc,1,0.013560104412442528,Wray et al. 2010 population-sample liability-threshold mapping. Not reported as a result; it shows that K must be supplied.
shared_external_k,PGS002250,Epithelial non-mucinous ovarian cancer,European,PPM016269,PSS010091,0.588,NA,NA,0.05,one_external_k_applied_to_the_auc,1,0.020754551230728238,Wray et al. 2010 population-sample liability-threshold mapping. Not reported as a result; it shows that K must be supplied.
shared_external_k,PGS002250,Epithelial non-mucinous ovarian cancer,European,PPM016269,PSS010091,0.588,NA,NA,0.1,one_external_k_applied_to_the_auc,1,0.025643435874398317,Wray et al. 2010 population-sample liability-threshold mapping. Not reported as a result; it shows that K must be supplied.
shared_external_k,PGS002250,Epithelial non-mucinous ovarian cancer,European,PPM016269,PSS010091,0.588,NA,NA,0.5,one_external_k_applied_to_the_auc,1,0.03791071034599544,Wray et al. 2010 population-sample liability-threshold mapping. Not reported as a result; it shows that K must be supplied.
shared_external_k,PGS002250,Epithelial non-mucinous ovarian cancer,Target,PPM016272,PSS010090,0.538,NA,NA,0.01,one_external_k_applied_to_the_auc,1,0.002508263124326757,Wray et al. 2010 population-sample liability-threshold mapping. Not reported as a result; it shows that K must be supplied.
shared_external_k,PGS002250,Epithelial non-mucinous ovarian cancer,Target,PPM016272,PSS010090,0.538,NA,NA,0.05,one_external_k_applied_to_the_auc,1,0.0038528499570537346,Wray et al. 2010 population-sample liability-threshold mapping. Not reported as a result; it shows that K must be supplied.
shared_external_k,PGS002250,Epithelial non-mucinous ovarian cancer,Target,PPM016272,PSS010090,0.538,NA,NA,0.1,one_external_k_applied_to_the_auc,1,0.004773878830869195,Wray et al. 2010 population-sample liability-threshold mapping. Not reported as a result; it shows that K must be supplied.
shared_external_k,PGS002250,Epithelial non-mucinous ovarian cancer,Target,PPM016272,PSS010090,0.538,NA,NA,0.5,one_external_k_applied_to_the_auc,1,0.007115114813307366,Wray et al. 2010 population-sample liability-threshold mapping. Not reported as a result; it shows that K must be supplied.
